"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name"
"FBgn0000003",118.991337274289,0.185070779320159,0.488529999828457,0.378831964025024,0.70481264956954,0.757356692031159,"ncRNA","7SLRNA:CR32864"
"FBgn0000008",1574.86194443518,0.388094394975587,0.170720678652953,2.27327115870081,0.0230098444463762,0.0383586115817788,"protein_coding","a"
"FBgn0000014",3523.0811886766,-0.657310220028682,0.197733212515867,-3.32422768873963,0.000886637752293979,0.00199489169203939,"protein_coding","abd-A"
"FBgn0000015",1763.83998997499,-1.8849838329474,0.152108134834203,-12.3923933128364,2.87338038000421e-35,1.30960273366911e-33,"protein_coding","Abd-B"
"FBgn0000017",11584.8476546451,0.993892095169957,0.134824077109703,7.37177006122768,1.68377254589646e-13,1.53361621064235e-12,"protein_coding","Abl"
"FBgn0000018",275.276573566659,-0.37568195165331,0.18738393429066,-2.00487812936285,0.0449760773498576,0.0701500267714335,"protein_coding","abo"
"FBgn0000022",353.431495749784,-1.17804335702511,0.241557250934085,-4.8768701931724,1.07782311590269e-06,4.03912198552937e-06,"protein_coding","ac"
"FBgn0000024",542.057917005977,-0.823019423643,0.292269479746111,-2.81596088773259,0.00486315868001896,0.0094070975401541,"protein_coding","Ace"
"FBgn0000028",84.5737356941338,-1.48141645797219,0.327773781335681,-4.51963074024838,6.1947583086157e-06,2.03974180630062e-05,"protein_coding","acj6"
"FBgn0000032",2273.46359677165,1.69563354868236,0.159768897719434,10.6130390387997,2.59179250223777e-26,6.886165747305e-25,"protein_coding","Acph-1"
"FBgn0000036",282.878104214433,-3.19056514302084,0.380209881958474,-8.3915892101124,4.79614192531074e-17,6.2845809705407e-16,"protein_coding","nAChRalpha1"
"FBgn0000037",254.011159069233,-1.24639563117235,0.383167581369113,-3.25287339476581,0.00114244386553185,0.0025154707300836,"protein_coding","mAChR-A"
"FBgn0000038",317.602911662232,-3.2984130538292,0.389297322740729,-8.47273500523388,2.39697448188142e-17,3.2364769028776e-16,"protein_coding","nAChRbeta1"
"FBgn0000039",109.006614152348,-3.10218437986553,0.499300059444792,-6.21306631390165,5.19605074906979e-10,3.14848456056352e-09,"protein_coding","nAChRalpha2"
"FBgn0000042",106641.102993646,0.489489973133688,0.084563500453734,5.78843083017236,7.10469936169582e-09,3.6836460584404e-08,"protein_coding","Act5C"
"FBgn0000043",25879.3771128416,0.346048676104253,0.108326569094433,3.19449493321058,0.00140075743983835,0.00303228868789292,"protein_coding","Act42A"
"FBgn0000044",33959.8049604653,-4.93211520141469,1.67595512446884,-2.94286829605765,0.00325186729249924,0.00653718301077558,"protein_coding","Act57B"
"FBgn0000045",38.563344955167,2.50424296451814,0.550055120919867,4.5527127541877,5.29585596072716e-06,1.76238138768095e-05,"protein_coding","Act79B"
"FBgn0000046",3165.37800306863,-5.30822206735664,1.58522039832084,-3.34857037733014,0.000812296475159298,0.00183947184899094,"protein_coding","Act87E"
"FBgn0000052",1488.8974378737,-0.124097096626279,0.135736668067134,-0.914248879049408,0.360586085654341,0.432171100060307,"protein_coding","Pfas"
"FBgn0000053",2670.20597342985,1.86342576641135,0.215720308712459,8.63815640508459,5.71273747251393e-18,8.17290022277396e-17,"protein_coding","Gart"
"FBgn0000055",3048.41002191418,0.687486278297916,0.245233744589249,2.80339183928138,0.00505681905749632,0.00974597702690792,"protein_coding","Adh"
"FBgn0000056",97.291521987548,0.521444885104618,0.405178523346134,1.28695094892569,0.198111385392122,0.258594338346905,"protein_coding","Adhr"
"FBgn0000057",1213.20576857856,0.647694810177491,0.122723944513212,5.27765639172202,1.30846521254611e-07,5.67428069419676e-07,"protein_coding","adp"
"FBgn0000061",571.391730290448,1.26095614427885,0.238244302057583,5.29270221108615,1.20522087678219e-07,5.26815842690503e-07,"protein_coding","al"
"FBgn0000063",686.142980290895,-0.0267275010053653,0.217558471866286,-0.12285203502345,0.90222426831544,0.924759825595141,"protein_coding","Mps1"
"FBgn0000064",15969.5217916118,0.836002763993464,0.181963764300041,4.59433649995816,4.34128353238962e-06,1.46629585272363e-05,"protein_coding","Ald1"
"FBgn0000071",14729.372845064,-0.892181158695827,0.180052184428214,-4.95512543504594,7.22836426724625e-07,2.77741647336276e-06,"protein_coding","Ama"
"FBgn0000075",2890.47127650003,1.73293505042994,0.271420423611784,6.38468921155533,1.7174590953123e-10,1.1002233793359e-09,"protein_coding","amd"
"FBgn0000077",416.528839706492,-0.0104046124027361,0.205410326561126,-0.0506528205126041,0.95960217212996,0.96833575276368,"protein_coding","amx"
"FBgn0000078",223.090063386463,-1.0923297470136,0.561014763239493,-1.94706060978879,0.0515274687023537,0.0791373523717155,"protein_coding","Amy-d"
"FBgn0000079",732.437917889498,-2.12601488339313,0.847635638864626,-2.50817071146377,0.0121358020968564,0.0215953601819216,"protein_coding","Amy-p"
"FBgn0000083",8752.34893885466,1.27503220550447,0.166931117425763,7.63807386643476,2.2049535839356e-14,2.19752115612459e-13,"protein_coding","AnxB9"
"FBgn0000084",498.763235474083,3.1953727611649,0.169657134877211,18.8342963794452,3.95346343203536e-79,1.16890735473845e-76,"protein_coding","AnxB10"
"FBgn0000092",23.8894375368976,-2.68213544317744,0.65711110879271,-4.08170765535412,4.47060089312721e-05,0.000126328139305203,"protein_coding","dyw"
"FBgn0000097",11958.8685874843,-0.768884134167816,0.148845047749372,-5.16566822876417,2.39581430696428e-07,9.92674623557495e-07,"protein_coding","aop"
"FBgn0000100",33944.5444859001,-0.227075405213917,0.114116854507566,-1.98984984465078,0.046607478755517,0.07238125757978,"protein_coding","RpLP0"
"FBgn0000108",2699.76449194764,-1.35835073712455,0.251536838607933,-5.40020596840605,6.65644279331207e-08,3.01119818947358e-07,"protein_coding","Appl"
"FBgn0000109",687.285375483619,0.369520799718037,0.168272765841628,2.19596319029911,0.0280945781719503,0.0459907127911356,"protein_coding","Aprt"
"FBgn0000114",4811.99407660461,1.53728849640428,0.523230181039514,2.9380730548649,0.00330259191094236,0.00663221653170958,"protein_coding","bru1"
"FBgn0000115",2109.70597434747,-0.296741659649059,0.106903532487705,-2.77578909455763,0.00550679176620512,0.0105300821513462,"protein_coding","Arl1"
"FBgn0000116",6472.6783805968,-1.99328729775585,0.17370108618389,-11.4753876417655,1.75389893237457e-30,5.94829664388562e-29,"protein_coding","Argk"
"FBgn0000117",51031.6776296165,0.212155623387982,0.116029548241308,1.8284620306093,0.0674802391307991,0.100453735788438,"protein_coding","arm"
"FBgn0000119",4399.52903295239,0.13165113017341,0.103359007773503,1.27372672212475,0.202760282682457,0.264005060931731,"protein_coding","arr"
"FBgn0000120",30.208502270191,-2.73538246840148,0.593402347002832,-4.60965899817789,4.03329973728798e-06,1.36868685316856e-05,"protein_coding","Arr1"
"FBgn0000121",15.3193751616565,-0.70083538668535,0.737851612810723,-0.949832424998888,0.342197407287878,0.413094462252567,"protein_coding","Arr2"
"FBgn0000137",706.026671626322,-3.63966115018509,0.367806572535642,-9.89558485889315,4.35059913864403e-23,9.39452409507571e-22,"protein_coding","ase"
"FBgn0000139",2592.76044169117,0.679060072604746,0.125822688598882,5.39696043826853,6.77793257398244e-08,3.06255252784449e-07,"protein_coding","ash2"
"FBgn0000140",7242.21801317743,0.0485198526274302,0.182518468003485,0.265835305096379,0.790366051659783,0.831163788571724,"protein_coding","asp"
"FBgn0000146",2230.73395873647,1.34384947100334,0.125656260677208,10.6946479527629,1.07828350814517e-26,2.92557344292283e-25,"protein_coding","aub"
"FBgn0000147",1608.87527254081,0.00408100038958421,0.158297732326506,0.025780536016566,0.979432386697893,0.984212187452149,"protein_coding","aurA"
"FBgn0000150",11302.9067766097,0.718620977087295,0.14177104467007,5.0688839795155,4.00155041795993e-07,1.60326191346407e-06,"protein_coding","awd"
"FBgn0000152",565.709239962554,0.433463553400722,0.20357183015729,2.1292904478277,0.0332302376128678,0.0535913104774796,"protein_coding","Axs"
"FBgn0000153",43.1929468047232,-1.48333324127873,0.47823364718995,-3.10169150580399,0.00192418367000605,0.00405329957961999,"protein_coding","b"
"FBgn0000157",429.030880102503,-1.21372978511541,0.246799707456288,-4.91787367831615,8.74893376854475e-07,3.31636933876034e-06,"protein_coding","Dll"
"FBgn0000158",859.704402498095,2.20326297329137,0.201695460222696,10.9237112766877,8.87918584785844e-28,2.59204789902926e-26,"protein_coding","bam"
"FBgn0000163",7360.02338872307,-0.257351402823929,0.109240025546702,-2.35583433394482,0.0184811577750177,0.0314966346886978,"protein_coding","baz"
"FBgn0000166",3555.58678134309,1.23838550077545,0.166390700159363,7.44263651507788,9.86953794869508e-14,9.12635461799542e-13,"protein_coding","bcd"
"FBgn0000173",6970.28591527884,0.594743533612556,0.150175487667312,3.96032363770384,7.48482543413102e-05,0.000203172132958957,"protein_coding","ben"
"FBgn0000179",568.82092306872,-1.14956118803063,0.214014533367175,-5.37141646384541,7.81205559519227e-08,3.503726684876e-07,"protein_coding","bi"
"FBgn0000180",5228.56385339119,-1.55262587423601,0.195963193241592,-7.92304844880674,2.3175722256723e-15,2.55242839868456e-14,"protein_coding","bib"
"FBgn0000181",20709.0128779803,-0.494466572071338,0.115645544224344,-4.27570794350805,1.90530865605442e-05,5.7709782277288e-05,"protein_coding","bic"
"FBgn0000182",1320.12015322463,1.16133256953376,0.968120248355322,1.19957471347869,0.230304552015824,0.294972985593077,"protein_coding","BicC"
"FBgn0000183",6082.6762002224,1.13855085963781,0.139421752093833,8.16623548721114,3.18161919462097e-16,3.84965906958808e-15,"protein_coding","BicD"
"FBgn0000206",107.982352149734,-1.7372226539482,0.410036421627993,-4.23675205985556,2.26776315250447e-05,6.7850484980615e-05,"protein_coding","boss"
"FBgn0000212",19847.2005815361,0.264380905750037,0.122969496533166,2.14997144172848,0.0315574738131855,0.0511295813601015,"protein_coding","brm"
"FBgn0000216",1568.20647364548,-0.579510083051561,0.142363312774657,-4.07064201975161,4.68837483062952e-05,0.000131889851602803,"protein_coding","Brd"
"FBgn0000221",618.486550286682,0.346327347240551,0.156810195119618,2.20857672536129,0.0272040957050062,0.0447043505165208,"protein_coding","brn"
"FBgn0000227",486.539603609784,-1.79248737084752,1.15942756007762,-1.54601066299262,0.122101992635834,0.169715293766128,"protein_coding","Bsg25A"
"FBgn0000228",7477.25196860511,0.264417469947519,0.180958120879422,1.46120808871412,0.143958343912321,0.195660497837456,"protein_coding","Bsg25D"
"FBgn0000229",2542.0881951186,-1.00256468036051,0.130845244889737,-7.66221715741654,1.82750286859031e-14,1.83882509404144e-13,"protein_coding","bsk"
"FBgn0000233",360.858883287371,-3.32985604006526,0.344598068391258,-9.66301423455609,4.32934397874432e-22,8.70075702530545e-21,"protein_coding","btd"
"FBgn0000239",8192.48552239154,0.824704449486187,0.141754664042398,5.81782938189265,5.96167065839061e-09,3.11622957216238e-08,"protein_coding","bur"
"FBgn0000241",219.653720102695,-0.0174232258297422,0.299803030465993,-0.0581155760922789,0.953656567435041,0.964276909776697,"protein_coding","bw"
"FBgn0000244",1141.2734647468,-0.183299455325955,0.231623019957157,-0.791369766959515,0.428728246984252,0.50184401745766,"protein_coding","by"
"FBgn0000246",1163.15380293249,-0.473220213730621,0.163534495082123,-2.89370272304311,0.00380728432541366,0.00754067254488919,"protein_coding","c(3)G"
"FBgn0000247",1729.0661170094,-0.0807548176129648,0.135234943201669,-0.597144611452524,0.550410835388767,0.618715864970547,"protein_coding","ca"
"FBgn0000250",16111.053735474,0.558398169429712,0.112777773757875,4.95131399409027,7.37140552356036e-07,2.82578713737282e-06,"protein_coding","cact"
"FBgn0000251",2273.77049490379,0.835375278336761,0.177055165488113,4.71816383347961,2.37982812649623e-06,8.39455433668646e-06,"protein_coding","cad"
"FBgn0000253",33058.5184716155,0.416609213642365,0.128965967521985,3.23038101948366,0.00123625346963954,0.00270292733379097,"protein_coding","Cam"
"FBgn0000256",1710.92512154115,1.08809985112716,0.167521737882416,6.49527556770514,8.28815598681012e-11,5.52751455661698e-10,"protein_coding","capu"
"FBgn0000257",1312.5141754452,-0.222141956708036,0.127541945918462,-1.74171685329352,0.0815580019996967,0.11863823906377,"protein_coding","car"
"FBgn0000259",4290.04124887539,-0.267024213242563,0.119700617050175,-2.23076722428786,0.0256965520651741,0.0423901204382722,"protein_coding","CkIIbeta"
"FBgn0000261",2935.74548784096,-0.294612684212428,0.143932102986622,-2.04688653954992,0.0406692260173168,0.0642582687319375,"protein_coding","Cat"
"FBgn0000273",8406.18943494653,0.448985687619508,0.115017971465889,3.90361333883084,9.47671401076181e-05,0.000253246788547148,"protein_coding","Pka-C1"
"FBgn0000274",17.0568878935056,1.99315755427496,0.8093887850109,2.4625465427571,0.0137954266537835,0.0241425200705384,"protein_coding","Pka-C2"
"FBgn0000283",21040.9437389446,-0.0765797345731195,0.126723750555458,-0.604304514642705,0.545641205350404,0.614376094862525,"protein_coding","Cp190"
"FBgn0000286",948.542512992158,0.074117019914774,0.159658624200888,0.464221837597183,0.64248881707931,0.702297710658974,"protein_coding","Cf2"
"FBgn0000287",501.913705157733,-1.48234848686333,0.292773345700283,-5.06312650599292,4.12435969494296e-07,1.64902883642119e-06,"protein_coding","salr"
"FBgn0000289",11643.2360410363,-0.291051184189166,0.113920784639679,-2.55485585979533,0.0106231778719431,0.0191310110950143,"protein_coding","cg"
"FBgn0000299",9506.47190313591,-5.20174382336063,1.48254868532798,-3.50864958084656,0.000450387889309797,0.00106838567200808,"protein_coding","Col4a1"
"FBgn0000303",162.438113017943,-0.681446810159664,0.435123014579981,-1.56610150997749,0.117324854665951,0.164044246289934,"protein_coding","ChAT"
"FBgn0000307",14636.363915936,0.312028280013201,0.107837678595836,2.89349960121683,0.00380974774570294,0.00754425575402723,"protein_coding","chif"
"FBgn0000308",31338.6008120511,0.0389784911230753,0.11392788341502,0.342133022704224,0.732250786849794,0.781451533842201,"protein_coding","chic"
"FBgn0000316",5232.83054623206,0.371354389081195,0.128462722430979,2.89075602675879,0.00384316345764454,0.00760781421975951,"protein_coding","cin"
"FBgn0000317",7777.98205854225,0.563360157295386,0.106036533510447,5.31288734782983,1.07901747069645e-07,4.75799252565994e-07,"protein_coding","ck"
"FBgn0000318",2422.13889636025,0.693406905826861,0.154636206241579,4.48411741777726,7.32163399279931e-06,2.38087314074926e-05,"protein_coding","cl"
"FBgn0000319",30412.2474105376,0.684745876258716,0.0812235311570522,8.43038792458684,3.44521207158141e-17,4.60333028938647e-16,"protein_coding","Chc"
"FBgn0000320",1553.60244161593,-0.178549826328677,0.170783203107193,-1.04547650518423,0.295802793848105,0.365545173707266,"protein_coding","eya"
"FBgn0000326",905.556854433656,1.00210715506657,0.139064597104439,7.2060551422299,5.75960867601541e-13,4.93051578642418e-12,"protein_coding","clt"
"FBgn0000330",1301.65315105093,0.156402669029314,0.121496930134793,1.28729729101628,0.197990687412602,0.258466049649577,"protein_coding","cm"
"FBgn0000337",137.623100469697,0.529617178481359,0.365045704619387,1.45082429892871,0.146828791628618,0.199045708472794,"protein_coding","cn"
"FBgn0000339",1877.0946921968,0.412021050420086,0.126562719374826,3.25546932347313,0.00113205125177998,0.00249354020712033,"protein_coding","cni"
"FBgn0000346",910.723373263149,0.407910763112717,0.226079484752792,1.80428031123103,0.0711873747171348,0.105306172913827,"protein_coding","comt"
"FBgn0000351",232.053940926445,0.347582386502027,0.299666262593295,1.1598982931681,0.246090217747374,0.312243210920441,"protein_coding","cort"
"FBgn0000352",6086.70208361087,0.434034089056812,0.138599722283944,3.13156535889461,0.0017387707892922,0.00369785429201925,"protein_coding","cos"
"FBgn0000370",18298.2512954402,1.37352593502372,0.0853250444505645,16.0975706941414,2.65318828379639e-58,3.82423926255702e-56,"protein_coding","crc"
"FBgn0000376",4536.32351505958,0.571238150115538,0.120156033054052,4.75413623100029,1.99296625304275e-06,7.1038311789292e-06,"protein_coding","crm"
"FBgn0000377",3965.52010534764,0.0166019429654382,0.125025874765616,0.132788056844726,0.894360999967606,0.918414524056146,"protein_coding","crn"
"FBgn0000382",5550.08204034582,1.14068710618728,0.149558723024903,7.62701822479019,2.40245639296556e-14,2.37995916385618e-13,"protein_coding","csw"
"FBgn0000384",6637.53955318966,0.723885055200217,0.127894434117362,5.66002000162061,1.51355353417983e-08,7.47122679907003e-08,"protein_coding","cta"
"FBgn0000392",3574.26350574427,1.33075379834911,0.24237738768195,5.49042058368638,4.00977756376002e-08,1.87117543859639e-07,"protein_coding","cup"
"FBgn0000394",1340.00339563903,-0.218487808387739,0.150766900861024,-1.44917622594856,0.147288375009405,0.19948111959519,"protein_coding","cv"
"FBgn0000395",1925.53094068057,1.01485736478849,0.184446957435073,5.5021637597125,3.75158241015433e-08,1.75923126358233e-07,"protein_coding","cv-2"
"FBgn0000404",37796.8737399745,0.315216282064422,0.161500727431072,1.95179481280636,0.0509625703905858,0.078358603889411,"protein_coding","CycA"
"FBgn0000405",64188.2402962572,0.751232667488112,0.132284412786415,5.67892052936762,1.35547433185129e-08,6.74869366173455e-08,"protein_coding","CycB"
"FBgn0000406",1565.4016205615,0.883102661178321,0.201909572499631,4.37375331068038,1.22128382007385e-05,3.8133289275038e-05,"protein_coding","Cyt-b5-r"
"FBgn0000411",2253.57705650997,-4.33959652492565,0.76167270262651,-5.69745575752056,1.21608525203386e-08,6.10212316849543e-08,"protein_coding","D"
"FBgn0000412",17967.0410916045,-0.366978291638342,0.140658891519189,-2.60899462291212,0.00908086692565282,0.0165499409703971,"protein_coding","D1"
"FBgn0000414",6456.47197781926,0.19410940941599,0.0997739260190895,1.94549234615516,0.0517157500151681,0.0794053679660324,"protein_coding","Dab"
"FBgn0000416",25042.2927573364,0.621326321674592,0.0970216041006901,6.40399968062549,1.51358427623986e-10,9.76126414391601e-10,"protein_coding","Sap-r"
"FBgn0000422",1069.73557460467,1.65318225836127,0.237281043362977,6.9671906146853,3.23332464839287e-12,2.54842559949543e-11,"protein_coding","Ddc"
"FBgn0000426",2182.86910610745,-0.380356635680328,0.151522446198819,-2.51023294054562,0.0120651544049397,0.0214770535531889,"protein_coding","SmF"
"FBgn0000427",37.1928978349462,-1.96613244292627,0.624614557543117,-3.14775315301637,0.00164530569712454,0.00351463875389831,"protein_coding","dec-1"
"FBgn0000439",527.912353398315,-1.23231302886267,0.186231401603617,-6.61710655803139,3.66297468670347e-11,2.54138153504077e-10,"protein_coding","Dfd"
"FBgn0000442",115.557456097857,-0.896840627346161,0.43912601694621,-2.04233088620667,0.0411187203460243,0.0648795791338268,"protein_coding","Pkg21D"
"FBgn0000447",1293.72509863649,0.49965964188653,0.130149641273652,3.83911655073982,0.000123477808839162,0.000322715914262099,"protein_coding","Dhod"
"FBgn0000448",3589.37694781683,-0.159812003298001,0.267254345735089,-0.597977192320053,0.549855151566026,0.618336862261014,"protein_coding","Hr3"
"FBgn0000449",457.369444677011,-0.883641080819235,0.234693275735904,-3.76508904248956,0.000166489741403656,0.000426810406430759,"protein_coding","dib"
"FBgn0000451",5694.29521790197,0.227103536872207,0.6196797204593,0.366485346178313,0.714002945233549,0.765804851780118,"protein_coding","ect"
"FBgn0000454",1952.29617918775,1.60404288426485,0.135334535967302,11.8524283014677,2.09043992143489e-32,7.98174262717409e-31,"protein_coding","Dip-B"
"FBgn0000455",1125.18242039273,0.231310854656411,0.113428580288763,2.03926430241432,0.0414236563485302,0.0652892538757383,"protein_coding","Dip-C"
"FBgn0000459",742.550798634725,-1.02659656031563,0.194088822114712,-5.28931315636961,1.22776528585149e-07,5.35249962614501e-07,"protein_coding","disco"
"FBgn0000463",7323.25959724078,-0.941037249354793,0.140936881872679,-6.67701198473312,2.4386301491582e-11,1.73045195384266e-10,"protein_coding","Dl"
"FBgn0000464",4707.55805658523,0.292872894571213,0.110059192686441,2.66104890852335,0.00778976410986901,0.0144110011151772,"protein_coding","Lar"
"FBgn0000473",44.4512514133332,1.42098567457011,0.751099044136986,1.8918752269254,0.0585076071980419,0.0884904536464614,"protein_coding","Cyp6a2"
"FBgn0000477",1034.34821716535,-3.86946970878759,0.165248263176044,-23.4160991130377,2.92974898804471e-121,2.81524463176196e-118,"protein_coding","DNaseII"
"FBgn0000479",1257.5782059976,0.554910208646383,0.19649346961924,2.82406438097752,0.00474188588000785,0.00920516600713308,"protein_coding","dnc"
"FBgn0000482",2529.70451883145,0.100819137884334,0.102849494549817,0.98025895339233,0.326958310565022,0.397151193418863,"protein_coding","dor"
"FBgn0000489",300.828571790798,-1.70433570530879,0.37582282237273,-4.5349446703332,5.76185880899636e-06,1.90427039055709e-05,"protein_coding","Pka-C3"
"FBgn0000490",1280.28402942496,0.110551983918881,0.155016751341916,0.713161532298144,0.475745806975642,0.548143974843738,"protein_coding","dpp"
"FBgn0000492",690.784389344588,-4.8919233751853,0.221768227902903,-22.058720590612,7.87795971654506e-108,4.325750166261e-105,"protein_coding","Dr"
"FBgn0000499",4401.4880951846,0.312537385403338,0.125567290251802,2.48900318527702,0.0128101818040911,0.0226347236259539,"protein_coding","dsh"
"FBgn0000504",161.422915779565,0.493102593027607,0.225992969768024,2.18193775467337,0.0291141269444025,0.0474508830806933,"protein_coding","dsx"
"FBgn0000520",1449.05653273953,0.318239851002866,0.148164548682297,2.14788121607453,0.0317231929535582,0.0513908595037201,"protein_coding","dwg"
"FBgn0000524",2715.58078858441,0.151852246506365,0.150988240861083,1.00572233731816,0.314549154972398,0.384712166523835,"protein_coding","dx"
"FBgn0000527",134.086609713743,-0.00457169865857072,0.3328699421715,-0.0137341888809393,0.989042047233848,0.991279402327866,"protein_coding","e"
"FBgn0000533",1034.28439438027,1.41689554001879,0.182543287966453,7.76197008283963,8.36201339960958e-15,8.73391091584222e-14,"protein_coding","ea"
"FBgn0000535",215.092195462824,-0.940360991282584,0.340844321741251,-2.75891640640694,0.00579933676881808,0.0110313679117851,"protein_coding","eag"
"FBgn0000536",2628.5913743383,0.175234859568635,0.148171205613676,1.18265123674246,0.236947397434098,0.302272423919967,"protein_coding","eas"
"FBgn0000541",25197.0005146427,0.018253927296377,0.109739945124784,0.166338039221914,0.867890932032453,0.896501866636766,"protein_coding","E(bx)"
"FBgn0000542",6297.36504636052,-0.192747064728984,0.182768840846025,-1.05459477576577,0.291610694121628,0.361177541774059,"protein_coding","ec"
"FBgn0000543",1205.45434390108,-0.281338529518428,0.137676783861422,-2.04347110404328,0.0410058250066613,0.064728017543027,"protein_coding","ecd"
"FBgn0000546",5995.59124061602,0.571477099837285,0.0964881441342939,5.92277014927236,3.16563165134256e-09,1.72917567842876e-08,"protein_coding","EcR"
"FBgn0000547",24067.9129195879,0.194595275945138,0.106609705302209,1.82530544844406,0.0679549484451394,0.101071396274311,"protein_coding","ed"
"FBgn0000551",74.8899387155875,1.40592939812477,0.443974212260302,3.16669157644786,0.00154183750368683,0.00330955477569114,"protein_coding","Edg78E"
"FBgn0000557",327.527345771061,-0.966580014104054,0.336096085360163,-2.87590381503033,0.00402872456005861,0.00793970652914645,"protein_coding","eEF1alpha2"
"FBgn0000559",202075.115552474,0.424485547388545,0.0920986778204086,4.60902976496891,4.0455241915821e-06,1.37202763097451e-05,"protein_coding","eEF2"
"FBgn0000560",30.7215326515113,-3.75006812422991,0.841691649294263,-4.45539423775232,8.37391701108139e-06,2.68444918139504e-05,"protein_coding","eg"
