"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name"
"FBgn0000014",3523.0811886766,-0.657310220028682,0.197733212515867,-3.32422768873963,0.000886637752293979,0.00199489169203939,"protein_coding","abd-A"
"FBgn0000015",1763.83998997499,-1.8849838329474,0.152108134834203,-12.3923933128364,2.87338038000421e-35,1.30960273366911e-33,"protein_coding","Abd-B"
"FBgn0000017",11584.8476546451,0.993892095169957,0.134824077109703,7.37177006122768,1.68377254589646e-13,1.53361621064235e-12,"protein_coding","Abl"
"FBgn0000022",353.431495749784,-1.17804335702511,0.241557250934085,-4.8768701931724,1.07782311590269e-06,4.03912198552937e-06,"protein_coding","ac"
"FBgn0000024",542.057917005977,-0.823019423643,0.292269479746111,-2.81596088773259,0.00486315868001896,0.0094070975401541,"protein_coding","Ace"
"FBgn0000028",84.5737356941338,-1.48141645797219,0.327773781335681,-4.51963074024838,6.1947583086157e-06,2.03974180630062e-05,"protein_coding","acj6"
"FBgn0000032",2273.46359677165,1.69563354868236,0.159768897719434,10.6130390387997,2.59179250223777e-26,6.886165747305e-25,"protein_coding","Acph-1"
"FBgn0000036",282.878104214433,-3.19056514302084,0.380209881958474,-8.3915892101124,4.79614192531074e-17,6.2845809705407e-16,"protein_coding","nAChRalpha1"
"FBgn0000037",254.011159069233,-1.24639563117235,0.383167581369113,-3.25287339476581,0.00114244386553185,0.0025154707300836,"protein_coding","mAChR-A"
"FBgn0000038",317.602911662232,-3.2984130538292,0.389297322740729,-8.47273500523388,2.39697448188142e-17,3.2364769028776e-16,"protein_coding","nAChRbeta1"
"FBgn0000039",109.006614152348,-3.10218437986553,0.499300059444792,-6.21306631390165,5.19605074906979e-10,3.14848456056352e-09,"protein_coding","nAChRalpha2"
"FBgn0000044",33959.8049604653,-4.93211520141469,1.67595512446884,-2.94286829605765,0.00325186729249924,0.00653718301077558,"protein_coding","Act57B"
"FBgn0000045",38.563344955167,2.50424296451814,0.550055120919867,4.5527127541877,5.29585596072716e-06,1.76238138768095e-05,"protein_coding","Act79B"
"FBgn0000046",3165.37800306863,-5.30822206735664,1.58522039832084,-3.34857037733014,0.000812296475159298,0.00183947184899094,"protein_coding","Act87E"
"FBgn0000053",2670.20597342985,1.86342576641135,0.215720308712459,8.63815640508459,5.71273747251393e-18,8.17290022277396e-17,"protein_coding","Gart"
"FBgn0000055",3048.41002191418,0.687486278297916,0.245233744589249,2.80339183928138,0.00505681905749632,0.00974597702690792,"protein_coding","Adh"
"FBgn0000057",1213.20576857856,0.647694810177491,0.122723944513212,5.27765639172202,1.30846521254611e-07,5.67428069419676e-07,"protein_coding","adp"
"FBgn0000061",571.391730290448,1.26095614427885,0.238244302057583,5.29270221108615,1.20522087678219e-07,5.26815842690503e-07,"protein_coding","al"
"FBgn0000064",15969.5217916118,0.836002763993464,0.181963764300041,4.59433649995816,4.34128353238962e-06,1.46629585272363e-05,"protein_coding","Ald1"
"FBgn0000071",14729.372845064,-0.892181158695827,0.180052184428214,-4.95512543504594,7.22836426724625e-07,2.77741647336276e-06,"protein_coding","Ama"
"FBgn0000075",2890.47127650003,1.73293505042994,0.271420423611784,6.38468921155533,1.7174590953123e-10,1.1002233793359e-09,"protein_coding","amd"
"FBgn0000078",223.090063386463,-1.0923297470136,0.561014763239493,-1.94706060978879,0.0515274687023537,0.0791373523717155,"protein_coding","Amy-d"
"FBgn0000079",732.437917889498,-2.12601488339313,0.847635638864626,-2.50817071146377,0.0121358020968564,0.0215953601819216,"protein_coding","Amy-p"
"FBgn0000083",8752.34893885466,1.27503220550447,0.166931117425763,7.63807386643476,2.2049535839356e-14,2.19752115612459e-13,"protein_coding","AnxB9"
"FBgn0000084",498.763235474083,3.1953727611649,0.169657134877211,18.8342963794452,3.95346343203536e-79,1.16890735473845e-76,"protein_coding","AnxB10"
"FBgn0000092",23.8894375368976,-2.68213544317744,0.65711110879271,-4.08170765535412,4.47060089312721e-05,0.000126328139305203,"protein_coding","dyw"
"FBgn0000097",11958.8685874843,-0.768884134167816,0.148845047749372,-5.16566822876417,2.39581430696428e-07,9.92674623557495e-07,"protein_coding","aop"
"FBgn0000108",2699.76449194764,-1.35835073712455,0.251536838607933,-5.40020596840605,6.65644279331207e-08,3.01119818947358e-07,"protein_coding","Appl"
"FBgn0000114",4811.99407660461,1.53728849640428,0.523230181039514,2.9380730548649,0.00330259191094236,0.00663221653170958,"protein_coding","bru1"
"FBgn0000116",6472.6783805968,-1.99328729775585,0.17370108618389,-11.4753876417655,1.75389893237457e-30,5.94829664388562e-29,"protein_coding","Argk"
"FBgn0000120",30.208502270191,-2.73538246840148,0.593402347002832,-4.60965899817789,4.03329973728798e-06,1.36868685316856e-05,"protein_coding","Arr1"
"FBgn0000137",706.026671626322,-3.63966115018509,0.367806572535642,-9.89558485889315,4.35059913864403e-23,9.39452409507571e-22,"protein_coding","ase"
"FBgn0000139",2592.76044169117,0.679060072604746,0.125822688598882,5.39696043826853,6.77793257398244e-08,3.06255252784449e-07,"protein_coding","ash2"
"FBgn0000146",2230.73395873647,1.34384947100334,0.125656260677208,10.6946479527629,1.07828350814517e-26,2.92557344292283e-25,"protein_coding","aub"
"FBgn0000150",11302.9067766097,0.718620977087295,0.14177104467007,5.0688839795155,4.00155041795993e-07,1.60326191346407e-06,"protein_coding","awd"
"FBgn0000153",43.1929468047232,-1.48333324127873,0.47823364718995,-3.10169150580399,0.00192418367000605,0.00405329957961999,"protein_coding","b"
"FBgn0000157",429.030880102503,-1.21372978511541,0.246799707456288,-4.91787367831615,8.74893376854475e-07,3.31636933876034e-06,"protein_coding","Dll"
"FBgn0000158",859.704402498095,2.20326297329137,0.201695460222696,10.9237112766877,8.87918584785844e-28,2.59204789902926e-26,"protein_coding","bam"
"FBgn0000166",3555.58678134309,1.23838550077545,0.166390700159363,7.44263651507788,9.86953794869508e-14,9.12635461799542e-13,"protein_coding","bcd"
"FBgn0000173",6970.28591527884,0.594743533612556,0.150175487667312,3.96032363770384,7.48482543413102e-05,0.000203172132958957,"protein_coding","ben"
"FBgn0000179",568.82092306872,-1.14956118803063,0.214014533367175,-5.37141646384541,7.81205559519227e-08,3.503726684876e-07,"protein_coding","bi"
"FBgn0000180",5228.56385339119,-1.55262587423601,0.195963193241592,-7.92304844880674,2.3175722256723e-15,2.55242839868456e-14,"protein_coding","bib"
"FBgn0000183",6082.6762002224,1.13855085963781,0.139421752093833,8.16623548721114,3.18161919462097e-16,3.84965906958808e-15,"protein_coding","BicD"
"FBgn0000206",107.982352149734,-1.7372226539482,0.410036421627993,-4.23675205985556,2.26776315250447e-05,6.7850484980615e-05,"protein_coding","boss"
"FBgn0000229",2542.0881951186,-1.00256468036051,0.130845244889737,-7.66221715741654,1.82750286859031e-14,1.83882509404144e-13,"protein_coding","bsk"
"FBgn0000233",360.858883287371,-3.32985604006526,0.344598068391258,-9.66301423455609,4.32934397874432e-22,8.70075702530545e-21,"protein_coding","btd"
"FBgn0000239",8192.48552239154,0.824704449486187,0.141754664042398,5.81782938189265,5.96167065839061e-09,3.11622957216238e-08,"protein_coding","bur"
"FBgn0000251",2273.77049490379,0.835375278336761,0.177055165488113,4.71816383347961,2.37982812649623e-06,8.39455433668646e-06,"protein_coding","cad"
"FBgn0000256",1710.92512154115,1.08809985112716,0.167521737882416,6.49527556770514,8.28815598681012e-11,5.52751455661698e-10,"protein_coding","capu"
"FBgn0000274",17.0568878935056,1.99315755427496,0.8093887850109,2.4625465427571,0.0137954266537835,0.0241425200705384,"protein_coding","Pka-C2"
"FBgn0000287",501.913705157733,-1.48234848686333,0.292773345700283,-5.06312650599292,4.12435969494296e-07,1.64902883642119e-06,"protein_coding","salr"
"FBgn0000299",9506.47190313591,-5.20174382336063,1.48254868532798,-3.50864958084656,0.000450387889309797,0.00106838567200808,"protein_coding","Col4a1"
"FBgn0000318",2422.13889636025,0.693406905826861,0.154636206241579,4.48411741777726,7.32163399279931e-06,2.38087314074926e-05,"protein_coding","cl"
"FBgn0000319",30412.2474105376,0.684745876258716,0.0812235311570522,8.43038792458684,3.44521207158141e-17,4.60333028938647e-16,"protein_coding","Chc"
"FBgn0000326",905.556854433656,1.00210715506657,0.139064597104439,7.2060551422299,5.75960867601541e-13,4.93051578642418e-12,"protein_coding","clt"
"FBgn0000370",18298.2512954402,1.37352593502372,0.0853250444505645,16.0975706941414,2.65318828379639e-58,3.82423926255702e-56,"protein_coding","crc"
"FBgn0000382",5550.08204034582,1.14068710618728,0.149558723024903,7.62701822479019,2.40245639296556e-14,2.37995916385618e-13,"protein_coding","csw"
