"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","neuroblast differentiation (GO:0014016)","18/25",2.45147447554055e-10,2.14258869162244e-08,0.000126255883409181,0.0125395047840482,-2.79514556124535,61.8542268690148,"dpn;D;mid;ems;svp;pdm2;vnd;N;nab;wg;pros;abd-A;cas;tll;klu;ham;Antp;sqz"
"2","central nervous system development (GO:0007417)","76/170",1.79698938860673e-20,1.30880727136857e-17,7.31701171124736e-08,0.000159876705890755,-1.24065896801584,56.4072909239506,"Kr;exex;jing;rib;run;lab;Nrt;Rnp4F;dap;Pc;Antp;tin;wor;Calr;ato;if;eg;ac;Dl;mute;vnd;Npc1b;Egfr;Dr;shd;ap;18w;l(1)sc;elav;Ror;ey;lbl;hkb;TBPH;noc;D;disco;mid;dimm;ems;N;SmD3;sc;pros;robo3;oc;cas;sim;sad;hth;seq;ind;Timp;sr;htl;HGTX;kn;unpg;gbb;sna;svp;pdm2;ftz;ct;Hem;ase;ewg;Notum;SoxN;gsb;esg;rho;mira;nub;dib;Dscam1"
"3","epithelial cell proliferation involved in Malpighian tubule morphogenesis (GO:0061331)","10/12",2.87917108153128e-07,1.12339085949033e-05,0.00194613572008172,0.0966433306449673,-3.63812784224164,54.7923635039928,"wg;l(1)sc;ac;ase;pnt;rho;svp;spi;N;Egfr"
"4","regulation of transcription from RNA polymerase II promoter (GO:0006357)","190/630",9.9419956509663e-23,2.17232604973614e-19,3.28461230835957e-06,0.00143537557875313,-1.04273100578011,52.827557040878,"hh;lmd;Tet;aop;Scr;Dfd;Tfb4;CG16779;bin;Ets65A;jing;rib;peb;bap;gcm;Adf1;dve;her;brk;GluRIIB;GluRIIC;GluRIID;GluRIIE;ac;GluRIIA;nau;CG12605;scw;kto;HLH3B;ap;l(1)sc;klu;CG9215;pnt;sty;Doc1;Doc2;Doc3;rn;CG34376;fkh;D;sug;bi;twi;HLH4C;mid;ouib;N;sc;sd;ara;CG1663;lov;pros;btd;MED30;fd59A;CG4374;Sp1;Ssu72;caup;FoxL1;CG14655;Su(z)2;so;btn;seq;sr;toy;Mef2;ss;salr;MrgBP;kn;sv;dpn;Hr51;ci;sna;kni;Ubx;CG43347;H15;ftz;HLH54F;NfI;ct;ase;CG2120;SoxN;Sos;tj;esg;GATAe;nub;HP1c;Vsx1;acj6;Kr;sog;run;woc;l(3)neo38;lab;Hel89B;CG42741;MED17;Dsp1;HHEX;Antp;hiw;tin;sage;wor;tio;Bgb;net;ato;drm;Bap55;CG5846;bab1;mip120;bab2;opa;crol;sens;prd;mle;scrt;en;CG43689;trh;edl;croc;vnd;MED28;fd96Cb;vg;MED25;fd96Ca;ey;TfAP-2;dsf;Neto;emc;onecut;hkb;CG33213;fd102C;disco;dimm;slou;zfh1;zfh2;dmrt11E;abd-A;oc;sim;SNCF;CG15269;org-1;hth;Nelf-A;ind;tkv;HGTX;NC2beta;gbb;Blimp-1;Elp1;ttk;Elp3;gt;mirr;slp1;CG1233;CG6765;dally;pb;ewg;tll;Raf;byn;E2f2;Abd-B;Ptx1;Bro"
"5","dorsal/ventral lineage restriction, imaginal disc (GO:0007451)","6/7",7.02932497057731e-05,0.00129067857653037,0.0148119259658592,0.30532130410757,-5.46691354072308,52.2791909738853,"Ser;vg;Dl;N;fng;ap"
"6","synaptic transmission, cholinergic (GO:0007271)","8/10",8.78079106762575e-06,0.000223093354450724,0.0065266403019294,0.193522969109806,-4.36051881177871,50.7692765787455,"nAChRbeta1;nAChRalpha1;RIC-3;nAChRalpha2;nAChRalpha7;nAChRalpha6;nAChRbeta3;nAChRbeta2"
"7","striated muscle cell development (GO:0055002)","18/27",1.76245608821332e-09,1.10027615792746e-07,0.000251648058049385,0.0197878621366282,-2.5153019913591,50.6998292087371,"Mef2;htl;aop;Zasp66;Col4a1;twi;Mhc;Prm;Mlc2;kon;sd;LanB1;pnt;wupA;sty;tn;up;if"
"8","neuroblast fate commitment (GO:0014017)","20/31",5.2081478981817e-10,4.0642154134025e-08,0.000159840415456436,0.0145521378238464,-2.3599850156932,50.4461585411715,"ac;insc;nkd;Kr;mid;en;run;vnd;N;Dr;inv;sc;l(1)sc;ase;pros;abd-A;ham;mira;ind;hkb"
"9","neuroblast development (GO:0014019)","16/21",6.3142956595757e-10,4.75749517799065e-08,0.000188882620280565,0.0165083410125213,-2.37360727880002,50.2802053862829,"dpn;D;mid;ems;svp;pdm2;vnd;N;nab;wg;abd-A;cas;tll;klu;Antp;sqz"
"10","nervous system development (GO:0007399)","96/246",2.58400879330869e-20,1.41151480334487e-17,2.62339093293331e-07,0.000286605459422964,-1.09331763697468,49.3112055161251,"Su(z)12;insc;exex;jing;rib;Rbfox1;sca;barr;Nrt;Rnp4F;Adf1;E(z);Pc;Appl;Myc;wupA;brk;CG15765;wor;Calr;ato;spdo;drl;eg;ac;comm;sens;Dl;spi;Imp;vnd;Npc1b;Egfr;Dr;shd;ap;l(1)sc;MED25;Sema1a;elav;Ror;klu;gsb-n;pnt;lbl;Nrx-1;emc;pbl;hkb;phyl;TBPH;imd;D;repo;mid;zfh1;N;SmD3;zfh2;FucTA;sc;pros;abd-A;oc;cas;Lapsyn;sad;CG13001;hth;ptc;ind;sr;htl;HGTX;Gad1;sna;Ptp52F;Lim3;Blimp-1;ttk;pdm2;ftz;mirr;ct;Hem;ase;ewg;SoxN;mbl;gsb;esg;rho;bib;dib;Pex19;Dscam1"
