"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","peptide metabolic process (GO:0006518)","32/72",4.36396412781943e-11,3.17987519447109e-08,3.09905021265073e-05,0.0225817458828483,-2.6998324623438,64.4046523525228,"CG30022;GstD9;GstD6;GstD4;GstD5;GstD2;GstD3;GstD1;CG4678;Gclc;se;GstT4;GstT2;GstT3;GstT1;CG33178;GstZ2;GstZ1;CG11951;CG32473;GstE9;SP1029;GstE7;GstE8;GstE6;GstE3;GstO3;GstO1;GstO2;GstS1;gfzf;CG11596"
"2","positive regulation of proteolysis (GO:0045862)","7/10",4.97888722329999e-05,0.00247360169775767,0.00810328764509409,0.573786423126787,-5.37897620395162,53.2933849948384,"CG9062;CG6347;sgg;Cp1;STUB1;26-29-p;CG4847"
"3","glutathione metabolic process (GO:0006749)","28/47",6.42230242258549e-14,7.01957654788594e-11,1.51445232066275e-06,0.00165529638648439,-1.65795486626933,50.3627244319258,"CG30022;GstD9;GstD6;GstD4;GstD5;GstD2;GstD3;GstD1;Gclc;se;GstT4;GstT2;GstT3;GstT1;CG33178;GstZ2;GstZ1;GstE9;GstE7;GstE8;GstE6;GstE3;GstO3;GstO1;GstO2;GstS1;gfzf;CG10365"
"4","proteolysis involved in cellular protein catabolic process (GO:0051603)","23/52",2.61589878710232e-08,1.14367094972113e-05,0.00041187657503617,0.169759063620926,-2.65236745312584,46.307876989737,"CG11700;Cp1;CG11459;Prosbeta6;Swim;Prosbeta7;Prosbeta4;Prosbeta5;Prosalpha1;CG6347;Prosbeta2;Prosalpha2;Prosbeta3;Prosalpha3;CG4572;Prosalpha5;Prosbeta1;trbd;Prosalpha6;Prosalpha7;CG12163;26-29-p;CG4847"
"5","chitin-based cuticle development (GO:0040003)","69/178",2.63510286186509e-18,5.76033485603708e-15,7.84852648524668e-08,0.000171568788967493,-1.11792443737423,45.2509087772413,"Cpr65Ea;Cpr65Ec;Acp65Aa;Cpr57A;reb;Tb;TwdlR;TwdlQ;TwdlP;mgl;TwdlO;Edg78E;TwdlN;TwdlM;Cpr60D;TwdlL;kkv;TwdlK;drd;TwdlZ;Cpr65Au;TwdlY;TwdlW;exp;Cpr72Ec;TwdlS;Cht2;Cht7;Idgf4;Idgf3;obst-A;Cpr49Ah;Idgf6;Cpr51A;fray;amd;Cpr47Ec;Cpr47Eb;Cpr47Ea;Pcp;Lcp1;Lcp4;Cpr76Bc;Cpr76Bd;Lcp65Ab1;pot;mmy;Lcp65Ag1;TwdlB;Cpr62Bb;Lcp65Ag3;Lcp65Ag2;TwdlJ;knk;TwdlH;TwdlG;TwdlF;dpy;TwdlD;Lcp65Af;Lcp65Ae;Cpr65Ax2;rtv;Cpr65Ax1;Lcp65Ad;Gasp;Lcp65Ac;Duox;puc"
"6","regulation of melanization defense response (GO:0035007)","7/8",4.21276415159565e-06,0.000427721423156171,0.0035225057185145,0.442968057579652,-3.46642434063094,42.9052913689285,"Spn27A;Tl;Hayan;Sp7;Spn77Ba;PGRP-LC;Spn28Dc"
"7","energy reserve metabolic process (GO:0006112)","5/6",0.000191413525084428,0.00643738408976244,0.0156585680419635,0.668902724532637,-4.65630304417614,39.8629568714795,"foxo;ACC;FASN1;GlyS;UGP"
"8","cellular glucan metabolic process (GO:0006073)","5/6",0.000191413525084428,0.00643738408976244,0.0156585680419635,0.668902724532637,-4.58348025752075,39.2395155756352,"foxo;ACC;FASN1;GlyS;UGP"
"9","regulation of oskar mRNA translation (GO:0046011)","10/16",4.81928081148552e-06,0.00045804121103945,0.00291534192416854,0.424862496415496,-3.14950698229878,38.5590544689121,"bru1;heph;osk;vas;egl;Syp;krimp;orb;aub;cup"
"10","chitin metabolic process (GO:0006030)","14/23",8.99205950916959e-08,1.96949331638367e-05,0.000543601759078904,0.169759063620926,-2.37350074112527,38.5084802439427,"Cht2;Cht6;Cht7;knk;Idgf4;Idgf3;Idgf2;CG8460;reb;Idgf6;Cht10;rtv;kkv;exp"
"11","inositol phosphate metabolic process (GO:0043647)","5/7",0.000598238109721,0.014906900930137,0.0235919778254483,0.672992097676914,-5.11100229968633,37.9314145089607,"Aps;l(1)G0196;IP3K2;Ipk2;Gbp1"
"12","negative regulation of transposition (GO:0010529)","13/21",1.98911508141189e-07,3.95291415269671e-05,0.000760150312719537,0.207711072950614,-2.41432308303914,37.253984888705,"spn-E;SoYb;tapas;mael;BoYb;Hsp83;Hmr;aub;mago;AGO3;tej;fs(1)Yb;piwi"
"13","positive regulation of antifungal peptide production (GO:0002804)","7/11",0.00012158249603852,0.00492183956185563,0.0115760739369311,0.665928884898197,-4.05830889868821,36.5853200972442,"Dif;psh;grass;Rel;Tl;SPE;spz"
"14","regulation of transposition (GO:0010528)","9/13",4.30460718638415e-06,0.000427721423156171,0.00287432291144843,0.424862496415496,-2.94506411972423,36.3886959056667,"spn-E;AGO3;tapas;mael;tej;Hsp83;Hmr;aub;piwi"
"15","Toll signaling pathway (GO:0008063)","18/33",1.40598645623562e-08,7.68371598332769e-06,0.000254594266731573,0.139135766768805,-1.99823372707104,36.1279490555122,"Dif;spz4;PGRP-SA;Traf6;SPE;NT1;spz6;nec;spz5;snk;Spn27A;ndl;Rel;Tl;spz;ea;gd;key"
"16","glycogen metabolic process (GO:0005977)","7/10",4.97888722329999e-05,0.00247360169775767,0.00810328764509409,0.573786423126787,-3.59834168331888,35.65135843717,"foxo;ACC;FASN1;AGBE;GlyP;GlyS;UGP"
"17","positive regulation of Toll signaling pathway (GO:0045752)","9/13",4.30460718638415e-06,0.000427721423156171,0.00287432291144843,0.424862496415496,-2.87331858868094,35.502220703229,"GNBP1;psh;PGRP-SA;grass;Hrs;spirit;SPE;spz;mop"
"18","regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060211)","6/9",0.00027263895607076,0.00818825841216352,0.016523672060733,0.668902724532637,-4.31207840812145,35.3907890857421,"spn-E;AGO3;pum;smg;aub;piwi"
"19","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening (GO:0060213)","6/9",0.00027263895607076,0.00818825841216352,0.016523672060733,0.668902724532637,-4.2928291416013,35.2328033844184,"spn-E;AGO3;pum;smg;aub;piwi"
"20","ecdysteroid metabolic process (GO:0045455)","12/20",9.63878636453119e-07,0.000175586558273877,0.00147135352327103,0.308338957761535,-2.36361877857984,32.7415574608301,"CG9518;CG9514;CG9503;scu;CG12539;CG45065;CG9512;CG9522;CG9521;Cyp18a1;Npc2b;Npc2a"
"21","regulation of Toll signaling pathway (GO:0008592)","16/29",7.30772983872558e-08,1.96949331638367e-05,0.000504356682477226,0.169759063620926,-1.92562669710665,31.641412771427,"Spn88Ea;spz4;psh;PGRP-SA;Hrs;spirit;SPE;NT1;spz6;modSP;nec;spz5;mop;GNBP1;grass;spz"
"22","positive regulation of antifungal peptide biosynthetic process (GO:0006967)","5/8",0.00142514083833018,0.0257467592776014,0.033715821598532,0.741473588479157,-4.71669636602139,30.91079716848,"Dif;psh;Rel;Tl;spz"
"23","regulation of intracellular signal transduction (GO:1902531)","13/25",3.06842123200292e-06,0.000394562871362258,0.00248350889291728,0.424862496415496,-2.33485597864351,29.6394728875851,"mav;Traf6;Lst;rut;DJ-1alpha;RhoGAP5A;scyl;Pak;daw;chrb;conu;mbt;key"
"24","chitin biosynthetic process (GO:0006031)","6/8",0.000102096472541061,0.00446365777949517,0.0113232055240691,0.665928884898197,-3.08392405777357,28.3400050293692,"rtv;kkv;mmy;knk;exp;reb"
"25","negative regulation of cellular process (GO:0048523)","32/91",4.66703291885764e-08,1.7003556601038e-05,0.000929502114490469,0.225765735808463,-1.66763161497351,28.1498838515862,"Blm;Rab5;Dronc;Ptp61F;tapas;mael;pum;Hsp83;Mnt;Pvf1;tej;Atg7;AP-1mu;fuss;Mnn1;mnb;spn-E;Syx7;sas;Sox15;hpo;Sesn;Hmr;aub;foxo;Tie;Xrp1;AGO3;BI-1;scrib;RhoGAP68F;piwi"
"26","regulation of antifungal peptide biosynthetic process (GO:0002810)","5/8",0.00142514083833018,0.0257467592776014,0.033715821598532,0.741473588479157,-4.27737147281979,28.0316882305702,"Dif;psh;Rel;Tl;spz"
"27","fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)","6/8",0.000102096472541061,0.00446365777949517,0.0113232055240691,0.665928884898197,-3.03933697629369,27.930267925046,"wal;CG4586;Acox57D-p;Acox57D-d;CG17544;CG5009"
"28","cuticle chitin metabolic process (GO:0006034)","6/8",0.000102096472541061,0.00446365777949517,0.0113232055240691,0.665928884898197,-2.92457528910805,26.8756547986878,"kkv;mmy;knk;exp;reb;Idgf6"
"29","regulation of embryonic pattern specification (GO:1902875)","12/26",3.48696377821461e-05,0.0020601358970749,0.0074553930419703,0.573786423126787,-2.50895168936636,25.7516144040255,"spn-E;Rab11;spn-F;exu;Khc;Syx1A;Tl;mael;swa;aub;mago;cup"
"30","positive regulation of nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:1900153)","6/10",0.000606914081785083,0.014906900930137,0.0231604659595506,0.672992097676914,-3.46073871293667,25.6341184339561,"spn-E;AGO3;pum;smg;aub;piwi"
"31","proteasomal ubiquitin-independent protein catabolic process (GO:0010499)","13/26",5.41066145515731e-06,0.000492821080873911,0.00322395641297911,0.440473044923271,-2.1107149831318,25.5969344273754,"Prosbeta6;Prosbeta7;Prosbeta4;Prosbeta5;Prosalpha1;Prosbeta2;Prosalpha2;Prosbeta3;Prosalpha3;Prosalpha5;Prosbeta1;Prosalpha6;Prosalpha7"
"32","positive regulation of apoptotic signaling pathway (GO:2001235)","7/12",0.00025918173376123,0.00818825841216352,0.016008327304516,0.668902724532637,-3.05004300821655,25.1871974171252,"CG6347;Cp1;Dronc;hpo;26-29-p;CG4847;Drice"
"33","positive regulation of signal transduction (GO:0009967)","35/107",9.00957601273406e-08,1.96949331638367e-05,0.00155156840593636,0.308338957761535,-1.5459470095633,25.0789595302182,"alpha4GT1;Listericin;psh;pygo;Cp1;Hrs;SPE;Stam;Vps35;Arp3;PGRP-LC;EndoGI;mop;GNBP1;grass;Sin1;PGRP-SA;C15;hpo;spirit;dlp;rumi;al;Lpin;CG6347;Usp10;Dyrk2;shi;trbd;spz;26-29-p;CG4847;Rcp;Chc;wls"
"34","chloride transport (GO:0006821)","13/30",3.76877552715288e-05,0.00216803771114637,0.00816036324676236,0.573786423126787,-2.45597507888789,25.0169927108523,"CG10413;Clic;Ncc69;Prestin;kcc;ClC-b;Ndae1;pHCl-1;pHCl-2;subdued;CG6927;Best1;Best2"
"35","detection of mechanical stimulus involved in sensory perception (GO:0050974)","5/9",0.00286576819127038,0.0438081766861332,0.0461561638631043,0.840715822790038,-4.09799383924648,23.9934213158045,"ppk26;pain;ppk;rpk;nompC"
"36","chitin-based embryonic cuticle biosynthetic process (GO:0008362)","11/21",1.64873259263827e-05,0.00120137648250242,0.00503310841477706,0.500107954304666,-2.15289431349725,23.709649824408,"Cht2;pot;fray;rtv;Gasp;kkv;mmy;knk;obst-A;dpy;puc"
"37","fatty acid beta-oxidation (GO:0006635)","14/31",1.05903883447198e-05,0.00085742921931694,0.00463665433257594,0.490787685774712,-2.06710156319456,23.6798136897003,"Mtpalpha;wal;CG10932;Acox57D-p;yip2;CG3699;CG8778;CPT2;CG4586;CG9577;CG4860;Acox57D-d;CG17544;CG5009"
"38","heat shock-mediated polytene chromosome puffing (GO:0035080)","6/10",0.000606914081785083,0.014906900930137,0.0231604659595506,0.672992097676914,-3.16977179237513,23.4788905705648,"Hsp70Bbb;Parp;Hsp70Ba;Hsp70Ab;Hsp70Bc;Hsp70Bb"
"39","polyol biosynthetic process (GO:0046173)","4/6",0.00334659224681539,0.0484480175598572,0.0494603628744741,0.851341364122837,-4.06954410268099,23.1956391215854,"l(1)G0196;IP3K2;Inos;Ipk2"
"40","chloride transmembrane transport (GO:1902476)","9/19",0.000267547271933892,0.00818825841216352,0.0172768931455243,0.671629845163301,-2.80229484167411,23.0522778706191,"pHCl-1;CG10413;pHCl-2;Ncc69;Prestin;CG6927;kcc;ClC-b;Ndae1"
"41","steroid metabolic process (GO:0008202)","9/18",0.000159003025020621,0.00599276918439789,0.0134681524988982,0.668902724532637,-2.62973232533022,23.0011834397027,"CG9518;CG9514;CG9503;scu;CG12539;CG45065;CG9512;CG9522;CG9521"
"42","regulation of intracellular mRNA localization (GO:1904580)","11/23",4.93109341909143e-05,0.00247360169775767,0.00839943528822378,0.573786423126787,-2.30374548235927,22.8470841536647,"spn-E;Rab11;spn-F;exu;Khc;Syx1A;mael;swa;aub;mago;cup"
"43","regulation of cell maturation (GO:1903429)","11/23",4.93109341909143e-05,0.00247360169775767,0.00839943528822378,0.573786423126787,-2.30291143200744,22.8388125721369,"spn-E;Rab11;spn-F;exu;Khc;Syx1A;mael;swa;aub;mago;cup"
