"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","Metabolism of xenobiotics by cytochrome P450","24/64",5.6903561944608e-07,1.59329973444903e-05,0.0011906016890976,0.0295999080487522,-62.0703772232157,892.529990702017,"GstE9;GstD9;Adh;GstD6;GstE7;GstE8;GstD4;GstE6;GstD5;GstD2;GstE3;GstD3;Aldh-III;GstD1;Fdh;GstO1;GstT4;GstS1;GstT2;GstT3;GstT1;gfzf;Mgstl;CG33178"
"2","Folate biosynthesis","16/40",1.67164473885506e-05,0.000156020175626473,0.00464496474673589,0.0482933726459389,-67.5614035087719,743.115812255869,"CG10863;CG12766;pr;l(3)72Dp;Dhpr;ple;CG10638;Mocs1;Pcd;Dhfr;GstO3;se;CG9436;GstO2;mal;Sptr"
"3","Biosynthesis of unsaturated fatty acids","13/25",3.08200843822751e-06,3.83538827868313e-05,0.00182426253696133,0.0295999080487522,-48.6124780295789,616.88889875221,"Desat1;Sc2;Desat2;CG8630;Acox57D-p;CG9747;Baldspot;CG4586;CG17821;Acox57D-d;CG17544;CG5009;ScpX"
"4","Longevity regulating pathway","18/55",0.000117062098164143,0.001008534999568,0.0143214024956173,0.123384390731472,-66.2073542755332,599.362334719995,"Ac13E;Pi3K21B;Pka-C2;Hsp68;SNF4Agamma;Sod3;Sod1;foxo;rut;Lap1;CG9314;Ras85D;Hsp70Ba;Hsc70-2;Atg5;Hsp70Ab;Hsp70Bc;Hsp70Bb"
"5","Glycolysis / Gluconeogenesis","16/54",0.000953985472076135,0.00763188377660908,0.0395535579479359,0.287308525980854,-73.0115593876146,507.785328346642,"PyK;Adh;Gapdh1;Eno;CG6650;Aldh-III;Pglym78;Fdh;Gapdh2;Tpi;Aldh;Pfk;Pgk;CG7069;CG2767;AcCoAS"
"6","Toll and Imd signaling pathway","27/65",8.74618512894676e-09,4.89786367221018e-07,0.000161296064125354,0.00903257959101981,-25.0096108959475,464.044532216088,"psh;pirk;lic;SPE;ben;PGRP-LC;nec;GNBP1;PGRP-LF;GNBP3;grass;Tl;DptA;p38c;key;Dif;kay;eff;PGRP-SA;spirit;modSP;Mekk1;Rel;Jra;Tab2;Duox;spz"
"7","Insect hormone biosynthesis","10/27",0.00132085666340856,0.00986239642011723,0.0337249221042862,0.26979937683429,-65.4372326717698,433.814482718667,"CG3301;CG15739;Aldh;Jheh2;Jhe;Cyp18a1;CG40485;CG40486;CG9360;CG10352"
"8","Glycerolipid metabolism","12/42",0.00553606143686733,0.031001944046457,0.0824727745627154,0.406184048645694,-70.7523053580856,367.66237111291,"CG10863;Aldh;CG12766;wun;CG9436;CG11438;CG11437;CG11426;CG10638;Lpin;CG2767;mino"
"9","Galactose metabolism","10/37",0.0163056651447632,0.0652226605790529,0.133957468595274,0.535829874381096,-70.0351670903994,288.281743644459,"CG10863;CG12766;Mal-A8;Pfk;CG9436;Mal-A1;Mal-B2;Mal-B1;CG10638;UGP"
"10","Fatty acid elongation","6/15",0.00815456004154563,0.0397091619414396,0.072249062760931,0.406184048645694,-57.0350877192982,274.291888739751,"Mtpalpha;Sc2;Baldspot;CG17821;yip2;Ppt1"
"11","Glyoxylate and dicarboxylate metabolism","9/33",0.0209122107247027,0.0731927375364593,0.145486525716376,0.537631174321368,-67.229170070727,260.003574426489,"Gs1;Mdh1;Mdh2;CG9314;CG10932;KFase;CG1236;Irp-1B;AcCoAS"
"12","Circadian rhythm","5/9",0.00287079637904485,0.0189134820266484,0.041044075140122,0.287308525980854,-40.7440663414482,238.481775814036,"sgg;Clk;tim;per;cyc"
"13","Tyrosine metabolism","12/21",1.99216153352798e-06,3.71870152925222e-05,0.00149123838666568,0.0295999080487522,-16.5003134718655,216.587904853568,"GstZ1;Ddc;Adh;Got1;Got2;Faa;ple;yellow-f;amd;Aldh-III;Fdh;GstZ2"
"14","Fatty acid degradation","15/32",2.8854365379606e-06,3.83538827868313e-05,0.00184999425304701,0.0295999080487522,-14.9139667757541,190.240089789361,"Mtpalpha;Adh;CG10932;Acox57D-p;yip2;CG7461;Fdh;Aldh;whd;CPT2;CG4586;CG4860;Acox57D-d;CG17544;CG5009"
"15","Glycosaminoglycan degradation","5/15",0.0351902169505381,0.108520682462414,0.153608906948962,0.537631174321368,-55.6906118278917,186.395762862433,"CG8646;CG6201;CG15117;CG18278;CG13397"
"16","Arginine and proline metabolism","13/53",0.015360337575965,0.0637169558706694,0.151975922822181,0.537631174321368,-42.3335845588701,176.783634071305,"SamDC;P5CDh1;Oat;Got1;PH4alphaNE1;Got2;S-Lap1;Aldh;S-Lap2;P5cr;CG5144;PH4alphaMP;CG34345"
"17","Dorso-ventral axis formation","9/28",0.00678458728881664,0.0345397171067029,0.0776021678955178,0.406184048645694,-35.0215851137167,174.866340179493,"br;bru1;spir;AGO3;Ras85D;capu;orb;aub;piwi"
"18","Inositol phosphate metabolism","11/47",0.0341389993646471,0.108520682462414,0.212552297682196,0.595146433510149,-51.57504380403,174.185162453586,"norpA;CG9391;Pi3K68D;Synj;CG3530;Pi4KIIalpha;IP3K2;EDTP;Inos;Tpi;Ipk2"
"19","AGE-RAGE signaling pathway in diabetic complications","8/31",0.039178155594017,0.115472458592892,0.195928114680482,0.595146433510149,-40.8507945294706,132.341702248173,"norpA;Pi3K21B;Rel;Jra;Rac2;Ras85D;Stat92E;p38c"
"20","Mitophagy","9/36",0.0358505825991904,0.108520682462414,0.196956080726332,0.595146433510149,-38.6979920396487,128.802221056327,"foxo;crc;Src64B;Tbc1d15-17;PEK;Jra;Ras85D;fzo;Atg5"
"21","Histidine metabolism","3/8",0.0730150411702772,0.183514653888272,0.206633910402347,0.595146433510149,-42.8899968018475,112.246973822489,"Aldh;Aldh-III;CG11596"
"22","Glycerophospholipid metabolism","12/63",0.106470818684895,0.24336187127976,0.406249545629342,0.83184399824874,-48.1597650627948,107.872303309507,"CG31683;CG2201;wun;CG11438;CG11437;CG11426;CG4757;GIIIspla2;Taz;Lpin;mino;frj"
"23","Sphingolipid metabolism","9/28",0.00678458728881664,0.0345397171067029,0.0776021678955178,0.406184048645694,-21.336658012655,106.536105839284,"wun;Cerk;lace;CG11438;CG3376;CG11437;CG11426;Sk1;bwa"
"24","Lysine degradation","8/35",0.073733566294395,0.183514653888272,0.280471271128324,0.68588518411321,-40.7933413513434,106.36036217517,"Aldh;Mtpalpha;egg;CG5321;CG10932;Set2;CG31751;G9a"
"25","Glycine, serine and threonine metabolism","6/27",0.126267931631349,0.27196169889829,0.344074456609853,0.755614492947128,-45.147426356756,93.425790080167,"CG9514;CG11899;aay;CG6287;Pglym78;CG1236"
"26","Proteasome","19/52",1.30783505341189e-05,0.000133161387256483,0.00474309909915472,0.0482933726459389,-7.65029485969078,86.024140857909,"CG30382;Rpn5;Pomp;Rpt6R;Rpt3R;Prosbeta6;Prosbeta7;Prosbeta4;Prosbeta5;Prosalpha1;Prosbeta2;Prosalpha2;Prosbeta3;Prosalpha3;Prosalpha5;Prosbeta1;Prosalpha6;Prosalpha7;Rpt4"
"27","alpha-Linolenic acid metabolism","6/13",0.00351545941451337,0.0218739696903054,0.0464280175532226,0.305878703880055,-15.1506764569596,85.610186053534,"CG4586;Acox57D-p;GIIIspla2;Acox57D-d;CG17544;CG5009"
"28","Butanoate metabolism","5/16",0.0458939192696138,0.128502973954919,0.179033858257431,0.595146433510149,-25.722553118653,79.2620577564903,"Mtpalpha;CG4860;CG10932;CG13377;Gabat"
"29","FoxO signaling pathway","14/65",0.0357503705318888,0.108520682462414,0.24979584209198,0.682369129617117,-21.8004555797473,72.6215608938255,"Pi3K21B;CG11658;SNF4Agamma;foxo;Art2;nej;CycB;CG9314;Gadd45;CycD;Ras85D;Skp2;p38c;Pdk1"
"30","Amino sugar and nucleotide sugar metabolism","9/47",0.145279101150373,0.307004892997014,0.427222010961223,0.83184399824874,-26.6722827491317,51.4534620075838,"Uxs;Cht2;kkv;Cht6;mmy;Cht7;CG15771;UGP;Cht10"
"31","Arginine biosynthesis","4/15",0.118134571673343,0.259432784851262,0.293950793191376,0.68588518411321,-23.8506660685502,50.9433738403043,"Gs1;Got1;Got2;CG6726"
"32","Starch and sucrose metabolism","9/33",0.0209122107247027,0.0731927375364593,0.145486525716376,0.537631174321368,-11.5612366979683,44.7121816779845,"Mal-A8;AGBE;Mal-A1;Mal-B2;Mal-B1;CG5171;GlyP;GlyS;UGP"
