"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name","entrezgene_id"
"FBgn0000003",123.353804684382,3.05895379912572,0.78862421263516,3.87884844278917,0.000104952114271891,0.00075117062202908,"ncRNA","7SLRNA:CR32864",3771948
"FBgn0000008",630.994604435902,0.986357977956852,0.406104187866747,2.42882986048029,0.0151476388626749,0.0454287907202634,"protein_coding","a",43852
"FBgn0000014",516.32700644977,-1.01645790253182,0.321518819293419,-3.1614258374226,0.00156998791844286,0.007194783100992,"protein_coding","abd-A",42037
"FBgn0000015",411.868738073606,-0.296649846150693,0.415363131972382,-0.714193974660268,0.475107242176191,0.612484590127724,"protein_coding","Abd-B",47763
"FBgn0000017",10524.8224060479,-0.419938081515263,0.316020617335612,-1.32883128023667,0.183903639765447,0.310572784256438,"protein_coding","Abl",45821
"FBgn0000018",274.613381753334,0.630066104662828,0.26932174473809,2.33945500863867,0.0193118974611197,0.0549682411377849,"protein_coding","abo",44793
"FBgn0000022",164.294112682467,-0.0892451614555017,0.411109442319689,-0.21708370635307,0.828143111647993,0.890897574669309,"protein_coding","ac",30981
"FBgn0000024",22.4941753626483,-1.95156552791982,1.00146075171324,-1.94871893339923,0.0513289994507734,0.118474207344752,"protein_coding","Ace",41625
"FBgn0000028",50.7252382937714,-0.705926367157648,0.645689562393801,-1.09329065896702,0.274266202865844,0.41403854252068,"protein_coding","acj6",47080
"FBgn0000032",1387.51752534515,1.31826303943231,0.380152572041984,3.46772095306702,0.000524892032511535,0.00294256730370209,"protein_coding","Acph-1",48445
"FBgn0000036",31.334867072629,-2.02883316148314,0.981986279107853,-2.06605041704489,0.038823719300219,0.0953592779553241,"protein_coding","nAChRalpha1",42918
"FBgn0000037",13.1420239618333,-0.348586502124544,1.01414445570422,-0.34372470328449,0.73105333136229,0.820426025472068,"protein_coding","mAChR-A",37892
"FBgn0000038",54.860770914635,0.939784415064006,0.752074358235988,1.24958975767808,0.211449446530366,0.343040904678825,"protein_coding","nAChRbeta1",38545
"FBgn0000042",112603.837633749,0.0209692942695542,0.215780973869938,0.0971786061276812,0.922584557458101,0.954939512814447,"protein_coding","Act5C",31521
"FBgn0000043",9624.10391009232,-0.0485415172686294,0.155817483572693,-0.311528052922145,0.755399220000097,0.838289817639859,"protein_coding","Act42A",35526
"FBgn0000044",1969.13552736647,-9.68458664990686,1.0493435401322,-9.2291859429437,2.72696446194938e-20,2.05544946319434e-18,"protein_coding","Act57B",37368
"FBgn0000046",656.839801700782,-6.87111447280988,0.409022613316685,-16.7988620900281,2.48770820636931e-63,1.33341159861395e-60,"protein_coding","Act87E",48632
"FBgn0000052",719.581835859708,1.54253655351808,0.342505163954197,4.50368845745159,6.67840896827582e-06,6.84005198789014e-05,"protein_coding","Pfas",33847
"FBgn0000053",1086.02411526618,1.16006452486318,0.254835866238699,4.55220272556365,5.30871433448212e-06,5.587912288245e-05,"protein_coding","Gart",33986
"FBgn0000055",482.956517689224,-2.09979332403007,0.651880829367671,-3.2211306567596,0.00127685922689033,0.00608052212292096,"protein_coding","Adh",3771877
"FBgn0000056",10.380235261945,-0.911416048562929,0.838280662896175,-1.08724450998795,0.27692876473725,0.417079101184045,"protein_coding","Adhr",3772432
"FBgn0000057",745.209025882257,1.24664020099739,0.270221229690357,4.61340584685333,3.96123747123383e-06,4.29415945196225e-05,"protein_coding","adp",37073
"FBgn0000061",24.7498524390389,1.67550756813142,1.01809295233561,1.64573142785012,0.0998190655605264,0.196461514591587,"protein_coding","al",33208
"FBgn0000063",425.449059739509,0.50768996360465,0.421762500682037,1.2037342409144,0.228692313337232,0.36228485448037,"protein_coding","Mps1",42126
"FBgn0000064",4655.98632809712,-0.344604637654005,0.256673377636988,-1.34258036741691,0.179407890986528,0.305116751672487,"protein_coding","Ald1",43183
"FBgn0000071",6712.80404893537,-1.20925071567975,0.375587471995639,-3.21962473682772,0.00128358503792841,0.00610051330101176,"protein_coding","Ama",40831
"FBgn0000075",75.2412394503873,3.04993103417356,0.636663029109268,4.79049496315282,1.66370399906491e-06,1.98648698706528e-05,"protein_coding","amd",35188
"FBgn0000077",537.222989431341,0.579880815598498,0.282085997112133,2.05568805802149,0.0398125937364203,0.0971943077856738,"protein_coding","amx",43869
"FBgn0000083",2682.70729558727,-0.0537330791071168,0.294918792799755,-0.182196185590658,0.855428766353272,0.911047216886673,"protein_coding","AnxB9",42492
"FBgn0000084",104.028905393787,1.04481413683449,0.646549234760442,1.61598542023116,0.106097465479606,0.205713092232162,"protein_coding","AnxB10",33019
"FBgn0000092",10.0227677951527,-1.37824153440708,1.01191709347888,-1.36201032998544,0.173194625106016,0.297755566681436,"protein_coding","dyw",31252
"FBgn0000097",4079.07473139641,0.635044784745808,0.297771254708976,2.13265980078051,0.0329526438292905,0.0836870512411148,"protein_coding","aop",33392
"FBgn0000100",24095.0554009754,0.281452178411535,0.23043664649539,1.22138636667396,0.221939766629311,0.355162525864918,"protein_coding","RpLP0",40451
"FBgn0000108",242.826992926372,-0.569641033566502,0.601535523229928,-0.946978210875778,0.343649882046261,0.488817283880265,"protein_coding","Appl",31002
"FBgn0000109",608.831402973827,0.491953097437038,0.376350845686159,1.30716618037649,0.191156278752137,0.319189300346247,"protein_coding","Aprt",48224
"FBgn0000114",1985.80056899363,3.41100518374987,0.49534838285067,6.88607311912466,5.7353519702627e-12,1.91469466467455e-10,"protein_coding","bru1",34648
"FBgn0000115",1395.58261669552,-0.148629104198319,0.206663852325399,-0.719182878505031,0.472028247290769,0.610251054578671,"protein_coding","Arl1",39745
"FBgn0000116",1218.6296168848,-1.34631180913793,0.299543919768263,-4.49453893165143,6.97208474435297e-06,7.08070248563342e-05,"protein_coding","Argk",39041
"FBgn0000117",32892.3973510495,-0.558931963959438,0.184908836289231,-3.02274339710389,0.00250494550006172,0.0106091809414379,"protein_coding","arm",31151
"FBgn0000119",3319.29731293692,-0.0933797301426505,0.202706805132768,-0.460664012150401,0.645039678290465,0.755486272878544,"protein_coding","arr",44279
"FBgn0000121",16.7583082090084,-0.281087170900768,0.89881374388038,-0.312731278103572,0.754484830151643,0.837478309470344,"protein_coding","Arr2",38993
"FBgn0000137",43.8431279376694,-2.0920312862727,0.838501963970268,-2.49496289354771,0.0125970302499852,0.0392685453479344,"protein_coding","ase",30985
"FBgn0000139",2394.50598506759,0.0469309040696261,0.176240590080756,0.266288850077735,0.790016759545224,0.864966147990504,"protein_coding","ash2",42936
"FBgn0000140",6210.98270422912,-0.0727277468287042,0.209872155337408,-0.346533568075198,0.728941761439056,0.818627646882087,"protein_coding","asp",42946
"FBgn0000146",2013.28129076345,0.795617444037285,0.224788765707913,3.53940038565405,0.00040103709340878,0.00236215255018798,"protein_coding","aub",34524
"FBgn0000147",975.765274784847,0.711207141394957,0.327085470267561,2.17437705445362,0.0296768298627869,0.077573030212996,"protein_coding","aurA",41446
"FBgn0000150",8380.10423915796,0.41335442828405,0.383719658263372,1.07723026272565,0.281377408547187,0.422103185139731,"protein_coding","awd",43739
"FBgn0000152",362.568875655296,0.370570999046236,0.295532915520945,1.25390770227073,0.209875555138067,0.34156663953054,"protein_coding","Axs",32645
"FBgn0000153",25.0131119357024,-0.163494037040025,0.825972514748174,-0.197941256059678,0.843091025063963,0.901889589734684,"protein_coding","b",34791
"FBgn0000157",184.636031388512,3.85030302437934,0.50003312529313,7.7000959128902,1.35964137628036e-14,6.43030392076122e-13,"protein_coding","Dll",37973
"FBgn0000158",526.993129871686,1.48870538139188,0.321573971467894,4.6294337025984,3.66667093058799e-06,4.00181460840644e-05,"protein_coding","bam",43038
"FBgn0000163",4215.5192781678,0.583974550652297,0.233500342127435,2.50095800859078,0.0123857863175118,0.0387174248434726,"protein_coding","baz",32703
"FBgn0000166",2608.71661396487,0.654482654052244,0.418898908430734,1.56238806280027,0.118196597517395,0.222984175879274,"protein_coding","bcd",40830
"FBgn0000173",7099.9991849198,-0.017302186361154,0.213286625329495,-0.0811217596716381,0.93534512100066,0.96352001056574,"protein_coding","ben",32358
"FBgn0000179",41.2135474721898,1.34963956090757,0.484314621753969,2.78670000922083,0.0053247747205531,0.0195336222448275,"protein_coding","bi",31379
"FBgn0000180",7913.23560378934,-0.561899595595785,0.267747347907721,-2.09861871643801,0.0358505251220045,0.0894455304828289,"protein_coding","bib",34330
"FBgn0000181",16865.8379591122,-0.384396282662424,0.242018594491829,-1.58829235195563,0.112220246118023,0.214396224662709,"protein_coding","bic",45827
"FBgn0000182",276.671020682258,2.35736020435616,0.384660148412514,6.12842326943652,8.87542132864751e-10,2.1623753782523e-08,"protein_coding","BicC",34946
