"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name","entrezgene_id"
"FBgn0000003",123.353804684382,3.05895379912572,0.78862421263516,3.87884844278917,0.000104952114271891,0.00075117062202908,"ncRNA","7SLRNA:CR32864",3771948
"FBgn0000008",630.994604435902,0.986357977956852,0.406104187866747,2.42882986048029,0.0151476388626749,0.0454287907202634,"protein_coding","a",43852
"FBgn0000014",516.32700644977,-1.01645790253182,0.321518819293419,-3.1614258374226,0.00156998791844286,0.007194783100992,"protein_coding","abd-A",42037
"FBgn0000018",274.613381753334,0.630066104662828,0.26932174473809,2.33945500863867,0.0193118974611197,0.0549682411377849,"protein_coding","abo",44793
"FBgn0000032",1387.51752534515,1.31826303943231,0.380152572041984,3.46772095306702,0.000524892032511535,0.00294256730370209,"protein_coding","Acph-1",48445
"FBgn0000036",31.334867072629,-2.02883316148314,0.981986279107853,-2.06605041704489,0.038823719300219,0.0953592779553241,"protein_coding","nAChRalpha1",42918
"FBgn0000044",1969.13552736647,-9.68458664990686,1.0493435401322,-9.2291859429437,2.72696446194938e-20,2.05544946319434e-18,"protein_coding","Act57B",37368
"FBgn0000046",656.839801700782,-6.87111447280988,0.409022613316685,-16.7988620900281,2.48770820636931e-63,1.33341159861395e-60,"protein_coding","Act87E",48632
"FBgn0000052",719.581835859708,1.54253655351808,0.342505163954197,4.50368845745159,6.67840896827582e-06,6.84005198789014e-05,"protein_coding","Pfas",33847
"FBgn0000053",1086.02411526618,1.16006452486318,0.254835866238699,4.55220272556365,5.30871433448212e-06,5.587912288245e-05,"protein_coding","Gart",33986
"FBgn0000055",482.956517689224,-2.09979332403007,0.651880829367671,-3.2211306567596,0.00127685922689033,0.00608052212292096,"protein_coding","Adh",3771877
"FBgn0000057",745.209025882257,1.24664020099739,0.270221229690357,4.61340584685333,3.96123747123383e-06,4.29415945196225e-05,"protein_coding","adp",37073
"FBgn0000071",6712.80404893537,-1.20925071567975,0.375587471995639,-3.21962473682772,0.00128358503792841,0.00610051330101176,"protein_coding","Ama",40831
"FBgn0000075",75.2412394503873,3.04993103417356,0.636663029109268,4.79049496315282,1.66370399906491e-06,1.98648698706528e-05,"protein_coding","amd",35188
"FBgn0000097",4079.07473139641,0.635044784745808,0.297771254708976,2.13265980078051,0.0329526438292905,0.0836870512411148,"protein_coding","aop",33392
"FBgn0000114",1985.80056899363,3.41100518374987,0.49534838285067,6.88607311912466,5.7353519702627e-12,1.91469466467455e-10,"protein_coding","bru1",34648
"FBgn0000116",1218.6296168848,-1.34631180913793,0.299543919768263,-4.49453893165143,6.97208474435297e-06,7.08070248563342e-05,"protein_coding","Argk",39041
"FBgn0000137",43.8431279376694,-2.0920312862727,0.838501963970268,-2.49496289354771,0.0125970302499852,0.0392685453479344,"protein_coding","ase",30985
"FBgn0000146",2013.28129076345,0.795617444037285,0.224788765707913,3.53940038565405,0.00040103709340878,0.00236215255018798,"protein_coding","aub",34524
"FBgn0000147",975.765274784847,0.711207141394957,0.327085470267561,2.17437705445362,0.0296768298627869,0.077573030212996,"protein_coding","aurA",41446
"FBgn0000157",184.636031388512,3.85030302437934,0.50003312529313,7.7000959128902,1.35964137628036e-14,6.43030392076122e-13,"protein_coding","Dll",37973
"FBgn0000158",526.993129871686,1.48870538139188,0.321573971467894,4.6294337025984,3.66667093058799e-06,4.00181460840644e-05,"protein_coding","bam",43038
"FBgn0000179",41.2135474721898,1.34963956090757,0.484314621753969,2.78670000922083,0.0053247747205531,0.0195336222448275,"protein_coding","bi",31379
"FBgn0000182",276.671020682258,2.35736020435616,0.384660148412514,6.12842326943652,8.87542132864751e-10,2.1623753782523e-08,"protein_coding","BicC",34946
"FBgn0000183",3452.32055992819,1.12129321699556,0.379585860385265,2.95399100445282,0.00313693149368242,0.0127700907388388,"protein_coding","BicD",35051
"FBgn0000216",1129.8419170068,0.862601256404507,0.343052414725312,2.51448822214298,0.0119205284152109,0.0375601757511283,"protein_coding","Brd",39620
"FBgn0000221",284.498307963698,0.927088653988202,0.311568348227681,2.97555467126822,0.00292459215254888,0.0120480209597744,"protein_coding","brn",31358
"FBgn0000227",8415.16839468553,0.638268082868739,0.260973076228083,2.44572387348843,0.0144561668264091,0.0439147032560439,"protein_coding","Bsg25A",33669
"FBgn0000229",590.582448763544,-0.79962360391264,0.344764439396129,-2.31933318097777,0.0203769776260881,0.0572668453645493,"protein_coding","bsk",44801
"FBgn0000233",629.845201570821,-1.64507814431066,0.294897781260371,-5.5784690453747,2.42644643090206e-08,4.45063786413367e-07,"protein_coding","btd",31912
"FBgn0000241",72.0112811275977,-1.77903329286383,0.584951777403292,-3.04133325444583,0.00235532982771697,0.0100683306060316,"protein_coding","bw",37724
"FBgn0000251",2713.13474580096,0.899452667905752,0.393166055247529,2.28771699871057,0.0221540071243389,0.0612265427486741,"protein_coding","cad",35341
"FBgn0000256",243.870777026074,2.40623364236909,0.527318282538005,4.56315231625915,5.03912283160589e-06,5.31919661699493e-05,"protein_coding","capu",33611
"FBgn0000261",1943.45901539033,-0.687731675900235,0.198573660393146,-3.46335800296288,0.000533478085831134,0.00298031069606183,"protein_coding","Cat",40048
"FBgn0000286",264.401532441035,-1.16730757444932,0.317452807556786,-3.67710584585241,0.000235895175556572,0.00147993681307455,"protein_coding","Cf2",33692
"FBgn0000299",508.249093662317,-10.4002678981663,0.793105099110597,-13.1133539676259,2.76112152494105e-39,6.05438647105257e-37,"protein_coding","Col4a1",33727
"FBgn0000318",2638.03929861543,0.824171244691678,0.189960083357629,4.3386548906701,1.43357432324886e-05,0.000132102436205396,"protein_coding","cl",43938
"FBgn0000320",137.702571215762,2.55225620892687,0.488974557566624,5.21960942431881,1.79300853495107e-07,2.74586449923936e-06,"protein_coding","eya",33916
"FBgn0000326",1035.8523319376,0.659596729841047,0.21664439357912,3.04460558126632,0.00232985635894221,0.00997712123882577,"protein_coding","clt",117300
"FBgn0000330",1038.71979173928,0.723975911715248,0.258664556116301,2.79889878453132,0.00512772079726701,0.0189403714594304,"protein_coding","cm",31647
"FBgn0000337",76.134905231692,1.63261173037698,0.722788250180577,2.25876905161241,0.0238977545968583,0.0651867504524989,"protein_coding","cn",35724
"FBgn0000339",1213.21206791432,-0.764835865241234,0.364772998006961,-2.09674474103107,0.0360161776130734,0.0897891683749178,"protein_coding","cni",34967
"FBgn0000346",165.852831375775,3.98644402901112,0.406653576445946,9.80304676981248,1.09239919290365e-22,9.75876612327263e-21,"protein_coding","comt",47091
"FBgn0000370",6699.2191098803,0.88782715794674,0.192308809890971,4.61667439182891,3.89938354889637e-06,4.23662753150363e-05,"protein_coding","crc",47767
"FBgn0000376",3814.5537656802,0.883141255226796,0.305055696177662,2.89501643894059,0.00379138676841519,0.0148635670980623,"protein_coding","crm",31268
"FBgn0000382",2430.44750613437,0.9129958445457,0.385511509154774,2.36827130413675,0.0178714253684926,0.0517172491716687,"protein_coding","csw",45278
"FBgn0000392",4294.79851388179,0.971272501808415,0.40838126871352,2.37834733426465,0.0173904364124087,0.0505942678660154,"protein_coding","cup",33934
"FBgn0000394",457.740094781962,-0.728615226070428,0.275768106447374,-2.64213014136017,0.00823863924820964,0.0279305593800698,"protein_coding","cv",44510
"FBgn0000395",1198.46512448662,3.40602693425232,0.378309228786126,9.00328798528436,2.19056784678494e-19,1.53149265114356e-17,"protein_coding","cv-2",45280
"FBgn0000422",28.6757702665044,4.37362708539943,0.927571627253954,4.71513676884168,2.415484420071e-06,2.75794008104674e-05,"protein_coding","Ddc",35190
"FBgn0000447",1542.05219436284,1.38199844290686,0.204922822343676,6.74399477374515,1.54090084338953e-11,4.90647238845617e-10,"protein_coding","Dhod",41022
"FBgn0000454",418.899702829016,1.36976367858753,0.543187504035634,2.52171426700875,0.0116784527245054,0.0369785729852405,"protein_coding","Dip-B",48450
"FBgn0000455",815.781464441963,0.834473279205602,0.247694995331563,3.36895494432006,0.000754537617757776,0.00396586293698582,"protein_coding","Dip-C",47769
"FBgn0000463",8726.37504725823,-0.601904325076311,0.190897440673527,-3.15302459243385,0.00161588193172464,0.00736768850533048,"protein_coding","Dl",42313
"FBgn0000477",474.563840348227,-2.55075810992539,0.257323416037591,-9.91265446885242,3.66769755235678e-23,3.43552873642119e-21,"protein_coding","DNaseII",48228
"FBgn0000479",1591.10940448658,1.21772255033394,0.327969978831111,3.7129085859441,0.000204890908081238,0.00131785832077853,"protein_coding","dnc",31309
"FBgn0000489",2519.00779871978,-5.1285751230217,0.316176284429935,-16.2206192417895,3.60541310166504e-59,1.65642979070782e-56,"protein_coding","Pka-C3",39733
