"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name","entrezgene_id"
"FBgn0000003",123.353804684382,-1.06001695154471,0.68786665113874,-1.5410209955518,0.12331167617347,0.433410219206427,"ncRNA","7SLRNA:CR32864",3771948
"FBgn0000008",630.994604435902,-0.20952656192346,0.362059034005325,-0.578708283026515,0.562786026054917,0.859201534335564,"protein_coding","a",43852
"FBgn0000014",516.32700644977,0.573708786232445,0.28864379858219,1.98760128937634,0.0468558036055404,0.24170978516563,"protein_coding","abd-A",42037
"FBgn0000015",411.868738073606,-1.28339904249374,0.374641707056628,-3.42567049615688,0.000613283889358264,0.00862531044391914,"protein_coding","Abd-B",47763
"FBgn0000017",10524.8224060479,0.140897638500998,0.282691530600375,0.498414785196296,0.618191717790353,0.883094137179706,"protein_coding","Abl",45821
"FBgn0000018",274.613381753334,-0.719496043423212,0.240936301318318,-2.98625005649371,0.00282421602340681,0.030684725443501,"protein_coding","abo",44793
"FBgn0000022",164.294112682467,1.66660917313393,0.361850270810633,4.60579777762862,4.10887542668787e-06,0.000114573497447065,"protein_coding","ac",30981
"FBgn0000024",22.4941753626483,2.29167107354452,0.90285968383808,2.5382361341051,0.0111412782882254,0.0871078224674222,"protein_coding","Ace",41625
"FBgn0000028",50.7252382937714,-0.981771515559333,0.593488569397932,-1.65423828896199,0.0980791060345317,0.383688830822035,"protein_coding","acj6",47080
"FBgn0000032",1387.51752534515,-0.927384038899893,0.339623322668007,-2.73062530457145,0.00632142970607597,0.0574285817365546,"protein_coding","Acph-1",48445
"FBgn0000036",31.334867072629,3.78870079485149,0.879853542868338,4.30605846343501,1.66189151735553e-05,0.000392988464692308,"protein_coding","nAChRalpha1",42918
"FBgn0000037",13.1420239618333,2.57946344072496,0.861894007227788,2.99278498178865,0.00276444437351411,0.0302053899384645,"protein_coding","mAChR-A",37892
"FBgn0000038",54.860770914635,1.8718478940312,0.641487879866606,2.91797858194988,0.00352308548219504,0.0365885131670805,"protein_coding","nAChRbeta1",38545
"FBgn0000042",112603.837633749,0.201181430847716,0.192998910058811,1.04239672020122,0.297227786477029,0.670012542974388,"protein_coding","Act5C",31521
"FBgn0000043",9624.10391009232,0.241866769703975,0.139351597080052,1.73565839769337,0.0826242536077208,0.347043447456374,"protein_coding","Act42A",35526
"FBgn0000044",1969.13552736647,1.9187174765738,0.957533677046236,2.00381200428645,0.0450902024420917,0.235762784217928,"protein_coding","Act57B",37368
"FBgn0000046",656.839801700782,0.731029027748791,0.398335911287702,1.83520743933328,0.0664749592917787,0.3042459237415,"protein_coding","Act87E",48632
"FBgn0000052",719.581835859708,-0.563549355773256,0.30442089380871,-1.85121772925145,0.0641382361707211,0.297750533227994,"protein_coding","Pfas",33847
"FBgn0000053",1086.02411526618,0.347183980956402,0.225769746159849,1.53777902868611,0.124102652888911,0.434922773364409,"protein_coding","Gart",33986
"FBgn0000055",482.956517689224,0.477818021559244,0.584684452661824,0.817223751006099,0.413800571796065,0.774037681842649,"protein_coding","Adh",3771877
"FBgn0000056",10.380235261945,-0.497197146366012,0.792472049184299,-0.627400230554229,0.530396916657296,0.841708262292201,"protein_coding","Adhr",3772432
"FBgn0000057",745.209025882257,-0.568175145316897,0.240163006655522,-2.36578960777194,0.0179916655027719,0.123378254754484,"protein_coding","adp",37073
"FBgn0000061",24.7498524390389,-2.16970412779014,0.916964435997895,-2.36618132897263,0.0179726393323417,0.123378254754484,"protein_coding","al",33208
"FBgn0000063",425.449059739509,0.225716935204527,0.375992049573197,0.600323691580039,0.548290532454534,0.855418346882495,"protein_coding","Mps1",42126
"FBgn0000064",4655.98632809712,-0.0282950579766236,0.22968689490772,-0.12318969259431,0.901956887516872,0.978324683742915,"protein_coding","Ald1",43183
"FBgn0000071",6712.80404893537,-1.62478371342603,0.336392420988322,-4.83002473317446,1.36516092001529e-06,4.29025164700569e-05,"protein_coding","Ama",40831
"FBgn0000075",75.2412394503873,-0.933598225789874,0.531537140175831,-1.75641202697716,0.079018080723855,0.337330284435289,"protein_coding","amd",35188
"FBgn0000077",537.222989431341,-0.338509980999623,0.25172026987781,-1.34478634225183,0.178694242072873,0.529334371359864,"protein_coding","amx",43869
"FBgn0000083",2682.70729558727,0.137641418497726,0.263788261173102,0.521787504438661,0.601818290767428,0.875903634324619,"protein_coding","AnxB9",42492
"FBgn0000084",104.028905393787,0.414190626360888,0.570043693730071,0.726594524098036,0.467474383718879,0.809584070026879,"protein_coding","AnxB10",33019
"FBgn0000092",10.0227677951527,-1.14394527410678,0.982270559038979,-1.16459285436182,0.2441838376088,0.612098444767639,"protein_coding","dyw",31252
"FBgn0000097",4079.07473139641,-0.374981686441249,0.266256811997295,-1.40834588842391,0.159028673815654,0.499313962503816,"protein_coding","aop",33392
"FBgn0000100",24095.0554009754,0.197171041129843,0.206086308718685,0.956740126773723,0.338698439202019,0.709611843956803,"protein_coding","RpLP0",40451
"FBgn0000108",242.826992926372,2.83584507863027,0.534300890907018,5.30758066642225,1.1108984724605e-07,4.4897593089612e-06,"protein_coding","Appl",31002
"FBgn0000109",608.831402973827,0.274088083392289,0.335614857448394,0.81667446273422,0.414114488950167,0.774147760006047,"protein_coding","Aprt",48224
