"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name","entrezgene_id"
"FBgn0000015",411.868738073606,-1.28339904249374,0.374641707056628,-3.42567049615688,0.000613283889358264,0.00862531044391914,"protein_coding","Abd-B",47763
"FBgn0000018",274.613381753334,-0.719496043423212,0.240936301318318,-2.98625005649371,0.00282421602340681,0.030684725443501,"protein_coding","abo",44793
"FBgn0000022",164.294112682467,1.66660917313393,0.361850270810633,4.60579777762862,4.10887542668787e-06,0.000114573497447065,"protein_coding","ac",30981
"FBgn0000024",22.4941753626483,2.29167107354452,0.90285968383808,2.5382361341051,0.0111412782882254,0.0871078224674222,"protein_coding","Ace",41625
"FBgn0000032",1387.51752534515,-0.927384038899893,0.339623322668007,-2.73062530457145,0.00632142970607597,0.0574285817365546,"protein_coding","Acph-1",48445
"FBgn0000036",31.334867072629,3.78870079485149,0.879853542868338,4.30605846343501,1.66189151735553e-05,0.000392988464692308,"protein_coding","nAChRalpha1",42918
"FBgn0000037",13.1420239618333,2.57946344072496,0.861894007227788,2.99278498178865,0.00276444437351411,0.0302053899384645,"protein_coding","mAChR-A",37892
"FBgn0000038",54.860770914635,1.8718478940312,0.641487879866606,2.91797858194988,0.00352308548219504,0.0365885131670805,"protein_coding","nAChRbeta1",38545
"FBgn0000071",6712.80404893537,-1.62478371342603,0.336392420988322,-4.83002473317446,1.36516092001529e-06,4.29025164700569e-05,"protein_coding","Ama",40831
"FBgn0000108",242.826992926372,2.83584507863027,0.534300890907018,5.30758066642225,1.1108984724605e-07,4.4897593089612e-06,"protein_coding","Appl",31002
"FBgn0000137",43.8431279376694,3.7693607659472,0.752191846137452,5.01116940485739,5.41002619142212e-07,1.86414045338717e-05,"protein_coding","ase",30985
"FBgn0000157",184.636031388512,-6.18417221313089,0.518533902814105,-11.9262639907808,8.63631692551595e-33,2.87321329990958e-30,"protein_coding","Dll",37973
"FBgn0000163",4215.5192781678,-0.686240833926424,0.208871170230521,-3.28547416653555,0.00101810878015668,0.0130274714999359,"protein_coding","baz",32703
"FBgn0000179",41.2135474721898,-1.47348871742706,0.431072879796386,-3.41818932827102,0.000630392393414158,0.00880177396766974,"protein_coding","bi",31379
"FBgn0000180",7913.23560378934,1.36326341246976,0.239428002830315,5.69383445693241,1.24217528118857e-08,6.27461105387817e-07,"protein_coding","bib",34330
"FBgn0000227",8415.16839468553,0.724676555075051,0.233221646600221,3.10724397001305,0.00188840482185209,0.0217414435814188,"protein_coding","Bsg25A",33669
