"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name","entrezgene_id"
"FBgn0000003",123.353804684382,1.99893684758102,0.79037614862034,2.52909560981858,0.0114356870543689,0.0474544123443231,"ncRNA","7SLRNA:CR32864",3771948
"FBgn0000008",630.994604435902,0.776831416033392,0.406036473101952,1.91320599870923,0.0557216858794217,0.150800231518839,"protein_coding","a",43852
"FBgn0000014",516.32700644977,-0.442749116299376,0.319904541557141,-1.38400384734861,0.166357276686892,0.319851535566986,"protein_coding","abd-A",42037
"FBgn0000015",411.868738073606,-1.58004888864443,0.417348728278985,-3.7859199791025,0.000153140953094594,0.00142381588165202,"protein_coding","Abd-B",47763
"FBgn0000017",10524.8224060479,-0.279040443014265,0.315985185517901,-0.883080776577916,0.377192629706298,0.556599865388258,"protein_coding","Abl",45821
"FBgn0000018",274.613381753334,-0.0894299387603845,0.270705143643276,-0.33035921503668,0.741128554843532,0.842016992125576,"protein_coding","abo",44793
"FBgn0000022",164.294112682467,1.57736401167843,0.402741715093576,3.91656476735203,8.981969313222e-05,0.000927816273382932,"protein_coding","ac",30981
"FBgn0000024",22.4941753626483,0.340105545624699,0.952972473230589,0.356889160157729,0.721174784955962,0.828518019201611,"protein_coding","Ace",41625
"FBgn0000028",50.7252382937714,-1.68769788271698,0.65275331647344,-2.58550640820168,0.00972360652909262,0.0420310733838197,"protein_coding","acj6",47080
"FBgn0000032",1387.51752534515,0.390879000532416,0.380449454732419,1.02741374884433,0.304225680170274,0.483712815142189,"protein_coding","Acph-1",48445
"FBgn0000036",31.334867072629,1.75986763336835,0.89749494617537,1.96086634344621,0.0498946163735229,0.139490947195523,"protein_coding","nAChRalpha1",42918
"FBgn0000037",13.1420239618333,2.23087693860042,0.935025011968904,2.38590081553306,0.0170373453336918,0.0637457773426352,"protein_coding","mAChR-A",37892
"FBgn0000038",54.860770914635,2.8116323090952,0.737463730896774,3.81257028827192,0.000137529100571612,0.0013047008479006,"protein_coding","nAChRbeta1",38545
"FBgn0000042",112603.837633749,0.22215072511727,0.215775887155899,1.02954379215118,0.30322421241521,0.482518093581057,"protein_coding","Act5C",31521
"FBgn0000043",9624.10391009232,0.193325252435345,0.155726888738256,1.24143784032239,0.214444047588465,0.382502527478926,"protein_coding","Act42A",35526
"FBgn0000044",1969.13552736647,-7.76586917333307,1.01664122168993,-7.63875102410675,2.19338980661444e-14,1.35652723424462e-12,"protein_coding","Act57B",37368
"FBgn0000046",656.839801700782,-6.14008544506109,0.384488815042144,-15.9694774070036,2.08525657029127e-57,1.25740971188563e-54,"protein_coding","Act87E",48632
"FBgn0000052",719.581835859708,0.978987197744825,0.342758772103146,2.85619881217867,0.00428746570644678,0.0221344865163421,"protein_coding","Pfas",33847
"FBgn0000053",1086.02411526618,1.50724850581958,0.254324601003426,5.92647545645526,3.09505619222602e-09,8.80858470283086e-08,"protein_coding","Gart",33986
"FBgn0000055",482.956517689224,-1.62197530247083,0.650820268156448,-2.49220158288145,0.0126953962130895,0.0511437860091266,"protein_coding","Adh",3771877
"FBgn0000056",10.380235261945,-1.40861319492894,0.843098676121469,-1.67075721362655,0.0947696428756807,0.216924677215793,"protein_coding","Adhr",3772432
"FBgn0000057",745.209025882257,0.678465055680494,0.270540901717093,2.50780954515325,0.0121482125607663,0.049714290131701,"protein_coding","adp",37073
"FBgn0000061",24.7498524390389,-0.494196559658718,1.04028340533722,-0.475059543508262,0.634744533368752,0.766555921634963,"protein_coding","al",33208
"FBgn0000063",425.449059739509,0.733406898809177,0.421081104993346,1.74172360172933,0.0815568205707021,0.195057066154223,"protein_coding","Mps1",42126
"FBgn0000064",4655.98632809712,-0.372899695630629,0.256614158826328,-1.45315323728104,0.146181212490966,0.292301831733232,"protein_coding","Ald1",43183
"FBgn0000071",6712.80404893537,-2.83403442910578,0.375858739512907,-7.54015839242833,4.69400968758347e-14,2.67975180271037e-12,"protein_coding","Ama",40831
"FBgn0000075",75.2412394503873,2.11633280838369,0.639489022100362,3.30941225766898,0.000934920644665878,0.00638189273588164,"protein_coding","amd",35188
"FBgn0000077",537.222989431341,0.241370834598876,0.282160155879792,0.855439117001714,0.392308096020667,0.569874753520707,"protein_coding","amx",43869
"FBgn0000083",2682.70729558727,0.0839083393906097,0.294780424148319,0.284646918576897,0.775914661681285,0.865036359591061,"protein_coding","AnxB9",42492
"FBgn0000084",104.028905393787,1.45900476319537,0.644198659327336,2.26483669605716,0.0235227026337993,0.0804791334365864,"protein_coding","AnxB10",33019
"FBgn0000092",10.0227677951527,-2.52218680851386,1.04447800613736,-2.41478211479177,0.0157446249100424,0.0600886634225035,"protein_coding","dyw",31252
"FBgn0000097",4079.07473139641,0.26006309830456,0.297790078994008,0.87331014915978,0.382494050106525,0.561518958525222,"protein_coding","aop",33392
"FBgn0000100",24095.0554009754,0.478623219541379,0.230415392751102,2.07721894716641,0.0377813558951081,0.114124771971197,"protein_coding","RpLP0",40451
"FBgn0000108",242.826992926372,2.26620404506377,0.592939713390316,3.82198053847,0.000132384139763819,0.00127088774173266,"protein_coding","Appl",31002
"FBgn0000109",608.831402973827,0.766041180829327,0.375767911572937,2.03860190622114,0.0414897748401003,0.121854900352295,"protein_coding","Aprt",48224
"FBgn0000114",1985.80056899363,2.84059237828461,0.495409343791585,5.73382883040581,9.81884251321586e-09,2.54656431633082e-07,"protein_coding","bru1",34648
"FBgn0000115",1395.58261669552,-0.1485429470736,0.206397052442258,-0.719695098916964,0.471712744528453,0.640456594316144,"protein_coding","Arl1",39745
"FBgn0000116",1218.6296168848,-1.5689968047572,0.299478046630441,-5.23910457681512,1.61357587300753e-07,3.49837753320823e-06,"protein_coding","Argk",39041
"FBgn0000117",32892.3973510495,-0.288519471719205,0.184882976372952,-1.5605518549052,0.118629525949526,0.253721495535586,"protein_coding","arm",31151
"FBgn0000119",3319.29731293692,-0.318197883878513,0.202682913556592,-1.56992949378374,0.1164315151076,0.250464030955021,"protein_coding","arr",44279
"FBgn0000121",16.7583082090084,-0.881697434268309,0.90408329264483,-0.975239163737853,0.329441639622039,0.510594849650351,"protein_coding","Arr2",38993
"FBgn0000137",43.8431279376694,1.67732947967449,0.767454424525942,2.18557535935842,0.0288466869916229,0.0934249198036851,"protein_coding","ase",30985
"FBgn0000139",2394.50598506759,0.036401427741788,0.17607175434575,0.206742006274936,0.836211349778136,0.903546545263686,"protein_coding","ash2",42936
"FBgn0000140",6210.98270422912,-0.546017129282624,0.209912950625087,-2.60115980294057,0.0092909163761421,0.0406425315148025,"protein_coding","asp",42946
"FBgn0000146",2013.28129076345,0.428193920593852,0.224832114566907,1.9045051522941,0.0568444262906879,0.152868578167225,"protein_coding","aub",34524
"FBgn0000147",975.765274784847,0.13308115942858,0.327312298468453,0.406587714703322,0.684310821830301,0.803093396061154,"protein_coding","aurA",41446
"FBgn0000150",8380.10423915796,0.633920347252924,0.383681899646034,1.65220289994849,0.0984931954875538,0.22254387589319,"protein_coding","awd",43739
"FBgn0000152",362.568875655296,0.143833167372906,0.295372567507483,0.486955063520792,0.626290176094609,0.760597550606489,"protein_coding","Axs",32645
"FBgn0000153",25.0131119357024,-1.58210221143362,0.84331248098217,-1.87605691497772,0.0606474650452542,0.159348241491452,"protein_coding","b",34791
"FBgn0000157",184.636031388512,-2.33386918875155,0.584674288934883,-3.9917424674227,6.55895798867666e-05,0.000717469690189937,"protein_coding","Dll",37973
"FBgn0000158",526.993129871686,1.19493224182045,0.321580323787105,3.71581267083842,0.00020255161375404,0.00181450136443731,"protein_coding","bam",43038
"FBgn0000163",4215.5192781678,-0.102266283274126,0.233605484242971,-0.437773469255372,0.661550505059738,0.786863181658076,"protein_coding","baz",32703
"FBgn0000166",2608.71661396487,0.364808792825241,0.418900815104103,0.870871527749548,0.383824304578962,0.562173287002079,"protein_coding","bcd",40830
"FBgn0000173",7099.9991849198,0.0214196799302035,0.213231435952984,0.100452730313772,0.91998490869148,0.952362059984485,"protein_coding","ben",32358
"FBgn0000179",41.2135474721898,-0.123849156519492,0.498472191541454,-0.248457503991359,0.803780446243504,0.883041874898351,"protein_coding","bi",31379
"FBgn0000180",7913.23560378934,0.801363816873974,0.267520037854945,2.99552819781108,0.00273969969281737,0.0156963317317708,"protein_coding","bib",34330
"FBgn0000181",16865.8379591122,-0.312433355252286,0.241994483448975,-1.29107635347466,0.196677202738698,0.359655354818604,"protein_coding","bic",45827
"FBgn0000182",276.671020682258,1.66914857387337,0.385459658618372,4.33028083887224,1.48919294686824e-05,0.000196818267827189,"protein_coding","BicC",34946
"FBgn0000183",3452.32055992819,0.965640279952699,0.37956413017171,2.5440767532903,0.0109567005973134,0.0459011061063307,"protein_coding","BicD",35051
"FBgn0000212",22604.7480401085,0.0811741257043674,0.311730172515974,0.260398680850208,0.794556260395771,0.876501120546352,"protein_coding","brm",39744
"FBgn0000216",1129.8419170068,0.509448720850609,0.343094692955196,1.48486330832618,0.137580037371167,0.280535703305231,"protein_coding","Brd",39620
"FBgn0000221",284.498307963698,0.420644553741721,0.312117211614634,1.34771341691045,0.177750575061737,0.33481795161961,"protein_coding","brn",31358
"FBgn0000227",8415.16839468553,1.36294463794379,0.260863678985947,5.22473900253937,1.74400929530764e-07,3.75584858953753e-06,"protein_coding","Bsg25A",33669
