"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name","entrezgene_id"
"FBgn0000003",123.353804684382,1.99893684758102,0.79037614862034,2.52909560981858,0.0114356870543689,0.0474544123443231,"ncRNA","7SLRNA:CR32864",3771948
"FBgn0000015",411.868738073606,-1.58004888864443,0.417348728278985,-3.7859199791025,0.000153140953094594,0.00142381588165202,"protein_coding","Abd-B",47763
"FBgn0000022",164.294112682467,1.57736401167843,0.402741715093576,3.91656476735203,8.981969313222e-05,0.000927816273382932,"protein_coding","ac",30981
"FBgn0000028",50.7252382937714,-1.68769788271698,0.65275331647344,-2.58550640820168,0.00972360652909262,0.0420310733838197,"protein_coding","acj6",47080
"FBgn0000037",13.1420239618333,2.23087693860042,0.935025011968904,2.38590081553306,0.0170373453336918,0.0637457773426352,"protein_coding","mAChR-A",37892
"FBgn0000038",54.860770914635,2.8116323090952,0.737463730896774,3.81257028827192,0.000137529100571612,0.0013047008479006,"protein_coding","nAChRbeta1",38545
"FBgn0000044",1969.13552736647,-7.76586917333307,1.01664122168993,-7.63875102410675,2.19338980661444e-14,1.35652723424462e-12,"protein_coding","Act57B",37368
"FBgn0000046",656.839801700782,-6.14008544506109,0.384488815042144,-15.9694774070036,2.08525657029127e-57,1.25740971188563e-54,"protein_coding","Act87E",48632
"FBgn0000052",719.581835859708,0.978987197744825,0.342758772103146,2.85619881217867,0.00428746570644678,0.0221344865163421,"protein_coding","Pfas",33847
"FBgn0000053",1086.02411526618,1.50724850581958,0.254324601003426,5.92647545645526,3.09505619222602e-09,8.80858470283086e-08,"protein_coding","Gart",33986
"FBgn0000055",482.956517689224,-1.62197530247083,0.650820268156448,-2.49220158288145,0.0126953962130895,0.0511437860091266,"protein_coding","Adh",3771877
"FBgn0000057",745.209025882257,0.678465055680494,0.270540901717093,2.50780954515325,0.0121482125607663,0.049714290131701,"protein_coding","adp",37073
"FBgn0000071",6712.80404893537,-2.83403442910578,0.375858739512907,-7.54015839242833,4.69400968758347e-14,2.67975180271037e-12,"protein_coding","Ama",40831
"FBgn0000075",75.2412394503873,2.11633280838369,0.639489022100362,3.30941225766898,0.000934920644665878,0.00638189273588164,"protein_coding","amd",35188
"FBgn0000084",104.028905393787,1.45900476319537,0.644198659327336,2.26483669605716,0.0235227026337993,0.0804791334365864,"protein_coding","AnxB10",33019
