"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_biotype","external_gene_name","entrezgene_id"
"FBgn0000003",123.353804684382,-1.06001695154471,0.68786665113874,12.4276164119969,0.00200160042484597,0.00820460522636607,"ncRNA","7SLRNA:CR32864",3771948
"FBgn0000014",516.32700644977,0.573708786232445,0.28864379858219,10.3353726312096,0.00569773634426485,0.019584699586755,"protein_coding","abd-A",42037
"FBgn0000015",411.868738073606,-1.28339904249374,0.374641707056628,16.4297401756964,0.000270599662935271,0.0014787160051052,"protein_coding","Abd-B",47763
"FBgn0000018",274.613381753334,-0.719496043423212,0.240936301318318,10.4764559381999,0.00530965738133035,0.0185619087913022,"protein_coding","abo",44793
"FBgn0000022",164.294112682467,1.66660917313393,0.361850270810633,26.8711055601838,1.46222284997106e-06,1.46298126431234e-05,"protein_coding","ac",30981
"FBgn0000024",22.4941753626483,2.29167107354452,0.90285968383808,6.43382110019875,0.0400786882874795,0.0945465485831912,"protein_coding","Ace",41625
"FBgn0000028",50.7252382937714,-0.981771515559333,0.593488569397932,6.81086463480906,0.0331924672984227,0.0813573944328557,"protein_coding","acj6",47080
"FBgn0000032",1387.51752534515,-0.927384038899893,0.339623322668007,13.9748311709751,0.000923429976270253,0.004302648367694,"protein_coding","Acph-1",48445
"FBgn0000036",31.334867072629,3.78870079485149,0.879853542868338,17.8063201577219,0.000135958606998421,0.00081660695106992,"protein_coding","nAChRalpha1",42918
"FBgn0000037",13.1420239618333,2.57946344072496,0.861894007227788,11.4449963452231,0.00327152784399538,0.0123595323365983,"protein_coding","mAChR-A",37892
"FBgn0000038",54.860770914635,1.8718478940312,0.641487879866606,16.6186010914011,0.00024621620012696,0.00136558354353052,"protein_coding","nAChRbeta1",38545
"FBgn0000044",1969.13552736647,1.9187174765738,0.957533677046236,85.2379710846895,3.096062752886e-19,1.36353996582582e-17,"protein_coding","Act57B",37368
"FBgn0000046",656.839801700782,0.731029027748791,0.398335911287702,399.355672522347,1.90993045291343e-87,8.77203772302383e-85,"protein_coding","Act87E",48632
"FBgn0000052",719.581835859708,-0.563549355773256,0.30442089380871,18.5167210376311,9.53114584637629e-05,0.000595387964302457,"protein_coding","Pfas",33847
"FBgn0000053",1086.02411526618,0.347183980956402,0.225769746159849,32.0316439212616,1.10768659335182e-07,1.40021457311642e-06,"protein_coding","Gart",33986
"FBgn0000055",482.956517689224,0.477818021559244,0.584684452661824,12.3921477874864,0.00203741405824112,0.00831606372904594,"protein_coding","Adh",3771877
"FBgn0000057",745.209025882257,-0.568175145316897,0.240163006655522,20.4749925164406,3.58023774258133e-05,0.000253812858026262,"protein_coding","adp",37073
"FBgn0000061",24.7498524390389,-2.16970412779014,0.916964435997895,6.32908244736527,0.0422335131058339,0.0983443345982057,"protein_coding","al",33208
"FBgn0000071",6712.80404893537,-1.62478371342603,0.336392420988322,55.9725238660701,7.01004608978723e-13,1.81752404666661e-11,"protein_coding","Ama",40831
"FBgn0000075",75.2412394503873,-0.933598225789874,0.531537140175831,19.6833049615925,5.31893440869746e-05,0.000359755416352644,"protein_coding","amd",35188
"FBgn0000108",242.826992926372,2.83584507863027,0.534300890907018,31.2781157013069,1.61452016375958e-07,1.95383274522725e-06,"protein_coding","Appl",31002
"FBgn0000114",1985.80056899363,-0.570412805465259,0.44030058780745,35.3606992428611,2.09662964086161e-08,3.03178304139583e-07,"protein_coding","bru1",34648
"FBgn0000116",1218.6296168848,-0.222684995619268,0.269221210009143,34.3963318096496,3.39571668584252e-08,4.71247301222318e-07,"protein_coding","Argk",39041
"FBgn0000117",32892.3973510495,0.270412492240234,0.165407601413867,9.33790764946741,0.00938207969425667,0.0293513326795672,"protein_coding","arm",31151
"FBgn0000137",43.8431279376694,3.7693607659472,0.752191846137452,23.8657822918846,6.57069369410161e-06,5.66347995349509e-05,"protein_coding","ase",30985
"FBgn0000140",6210.98270422912,-0.47328938245392,0.187848950745043,8.78865536930951,0.0123471787332773,0.036474284496925,"protein_coding","asp",42946
"FBgn0000146",2013.28129076345,-0.367423523443433,0.200696498081043,12.268910301812,0.00216690553282511,0.00875201166838284,"protein_coding","aub",34524
"FBgn0000157",184.636031388512,-6.18417221313089,0.518533902814105,150.815449655926,1.78172721769367e-33,1.68478029555446e-31,"protein_coding","Dll",37973
"FBgn0000158",526.993129871686,-0.293773139571437,0.284374083300324,19.8227155371231,4.96080336518528e-05,0.000337663715294369,"protein_coding","bam",43038
"FBgn0000163",4215.5192781678,-0.686240833926424,0.208871170230521,12.4457150990116,0.00198356896452679,0.00814107347355781,"protein_coding","baz",32703
"FBgn0000179",41.2135474721898,-1.47348871742706,0.431072879796386,14.5050777531928,0.000708373630626109,0.00340591409142015,"protein_coding","bi",31379
"FBgn0000180",7913.23560378934,1.36326341246976,0.239428002830315,32.5721723949177,8.45361826274479e-08,1.09885644399156e-06,"protein_coding","bib",34330
"FBgn0000182",276.671020682258,-0.688211630482788,0.333946273532089,32.3799121282633,9.30660794731949e-08,1.19682978202529e-06,"protein_coding","BicC",34946
