"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","regulation of oskar mRNA translation (GO:0046011)","9/16",1.83683697879127e-06,0.000255687707447744,0.00174464745893678,0.520403413465714,-3.19195459821978,42.1576302298583,"bru1;osk;BicC;vas;egl;krimp;orb;aub;cup"
"2","ncRNA metabolic process (GO:0034660)","9/14",3.77857794087941e-07,0.000126315262025706,0.000872422054775905,0.520403413465714,-2.82559018780998,41.7869410077365,"Gasz;shu;rhi;zuc;del;vret;CG11342;mino;Nbr"
"3","tRNA aminoacylation for protein translation (GO:0006418)","17/41",1.76241055191262e-08,1.22663774413118e-05,0.000330459172518595,0.520403413465714,-2.19492788726431,39.1882386366351,"LysRS;LeuRS;CysRS-m;GatB;ValRS;GlyRS;ThrRS;mRpL39;MetRS;GlnRS;alpha-PheRS;ValRS-m;TyrRS;CysRS;HisRS;TyrRS-m;ArgRS"
"4","negative regulation of lipid catabolic process (GO:0050995)","4/7",0.00161873772618229,0.0364049807260733,0.0344484371596904,0.966855178052992,-5.49051659183935,35.282655970666,"schlank;Lsd-2;Sik3;Lkb1"
"5","acylglycerol metabolic process (GO:0006639)","6/11",0.000136136932652166,0.00748036619415061,0.0115119795195371,0.966855178052992,-3.80633279752693,33.8834010292907,"schlank;crc;Seipin;Hydr2;Gk1;Gk2"
"6","piRNA metabolic process (GO:0034587)","9/15",8.71249691196599e-07,0.000202129928357611,0.00124832795442276,0.520403413465714,-2.28400097284745,31.8694358062102,"Gasz;shu;rhi;tapas;zuc;del;vret;mino;Nbr"
"7","maternal specification of dorsal/ventral axis, oocyte, soma encoded (GO:0007313)","4/6",0.000745243412633457,0.021003522383155,0.0241805105773845,0.966855178052992,-4.21269486754341,30.3389844840594,"wbl;dpp;cic;tld"
"8","fatty acid beta-oxidation (GO:0006635)","13/31",7.32347383879296e-07,0.000191142667192496,0.00149859877756502,0.520403413465714,-2.09494309106144,29.5952838140427,"Mtpalpha;Acox57D-p;HIPP1;yip2;CG4592;CG9527;CG8778;CG4594;CG4586;CG4860;Seipin;Acox57D-d;CG17544"
"9","pole plasm oskar mRNA localization (GO:0045451)","13/33",1.72380513147479e-06,0.000255687707447744,0.00233627530264889,0.542015870214544,-2.20233171883799,29.2270923205056,"exu;Ge-1;Khc;btz;Lkb1;egl;capu;spir;Ets97D;lost;cnc;par-1;orb"
"10","fatty acid catabolic process (GO:0009062)","15/38",2.66110657569116e-07,0.000126315262025706,0.00109112933839436,0.520403413465714,-1.88641119481491,28.5590461298495,"Mtpalpha;Acox57D-p;HIPP1;yip2;CG4592;CG9527;CG8778;CG4594;CG4586;CG4860;Seipin;Acox57D-d;Hydr2;CG17544;Pex16"
"11","fatty acid beta-oxidation using acyl-CoA oxidase (GO:0033540)","5/8",0.000223005834327954,0.00997630740130949,0.0140832599328373,0.966855178052992,-3.38765451470789,28.4844582215684,"CG9527;CG4586;Acox57D-p;Acox57D-d;CG17544"
"12","fatty acid oxidation (GO:0019395)","13/33",1.72380513147479e-06,0.000255687707447744,0.00233627530264889,0.542015870214544,-2.03046632974094,26.9462707935426,"Mtpalpha;Acox57D-p;HIPP1;yip2;CG4592;CG9527;CG8778;CG4594;CG4586;CG4860;Seipin;Acox57D-d;CG17544"
"13","maternal determination of anterior/posterior axis, embryo (GO:0008358)","11/30",2.43450608475919e-05,0.00231056759317145,0.00759509618104084,0.909459538717249,-2.51550471919503,26.7226633695471,"grk;Moe;spn-F;nos;osk;vas;baz;aPKC;tsl;par-1;orb"
"14","oocyte dorsal/ventral axis specification (GO:0007310)","12/33",1.14758100939029e-05,0.00133119397089274,0.00569635824790964,0.909459538717249,-2.31674659417809,26.3536161957036,"wbl;grk;sll;dpp;Khc;cnc;spz;cic;krimp;tld;gd;orb"
"15","regulation of embryonic pattern specification (GO:1902875)","10/26",3.53368199973229e-05,0.00283781846747732,0.00827573335039642,0.909459538717249,-2.55629308018784,26.2034997033287,"gcl;spn-F;exu;Khc;cnc;tsl;swa;par-1;aub;cup"
"16","tRNA aminoacylation (GO:0043039)","8/11",4.23470706024876e-07,0.000126315262025706,0.000959908862726482,0.520403413465714,-1.77008031491501,25.975541852422,"MetRS;ValRS-m;TyrRS;GatA;GatB;ValRS;TyrRS-m;ThrRS"
"17","fatty acid beta-oxidation using acyl-CoA dehydrogenase (GO:0033539)","5/8",0.000223005834327954,0.00997630740130949,0.0140832599328373,0.966855178052992,-3.0731965506873,25.8403973529953,"CG9527;CG4586;Acox57D-p;Acox57D-d;CG17544"
"18","positive regulation of MyD88-dependent toll-like receptor signaling pathway (GO:0034126)","5/9",0.00046568110723663,0.0153736534418846,0.0197754531079238,0.966855178052992,-3.30131297542644,25.3277044350929,"Herc4;Pitslre;Uba2;Ubr3;CG33223"
"19","positive regulation of toll-like receptor signaling pathway (GO:0034123)","5/9",0.00046568110723663,0.0153736534418846,0.0197754531079238,0.966855178052992,-3.26658136275277,25.0612431734977,"Herc4;Pitslre;Uba2;Ubr3;CG33223"
"20","glycogen metabolic process (GO:0005977)","5/10",0.000864542093533991,0.0228785137745704,0.0267874865782593,0.966855178052992,-3.52433979780075,24.8582631228514,"foxo;AGBE;CG9485;GlyP;UGP"
"21","oocyte anterior/posterior axis specification (GO:0007314)","10/26",3.53368199973229e-05,0.00283781846747732,0.00827573335039642,0.909459538717249,-2.24619867591295,23.0248506300291,"grk;Moe;spn-F;nos;osk;vas;baz;aPKC;par-1;orb"
"22","oogenesis (GO:0048477)","47/216",3.28730001268123e-09,3.43194121323921e-06,0.00331508058727075,0.629262569656485,-1.11000711401949,21.6819901536309,"shu;raptor;bru1;lqfR;osk;M6;zuc;del;egl;capu;p53;bam;lov;yl;nos;wisp;vret;orb;bgcn;brn;Gmd;armi;Dlic;ALiX;GatA;LIMK1;ovo;Nprl2;vas;Tsc1;Past1;pAbp;aub;mus301;abo;otu;Btk29A;stil;spir;spin;BicD;BicC;Nup154;EDTP;Lar;fs(1)Yb;cup"
"23","regulation of MyD88-dependent toll-like receptor signaling pathway (GO:0034124)","5/10",0.000864542093533991,0.0228785137745704,0.0267874865782593,0.966855178052992,-3.05071354050296,21.5176300394165,"Herc4;Pitslre;Uba2;Ubr3;CG33223"
"24","interstrand cross-link repair (GO:0036297)","4/10",0.00784613931554135,0.101127994186344,0.0781090487601096,0.966855178052992,-4.39052573108473,21.2840994379809,"Mnn1;mei-9;Snm1;mus312"
"25","regulation of protein complex assembly (GO:0043254)","7/18",0.000505148862176759,0.0157425496152996,0.0245646654855721,0.966855178052992,-2.75321831406275,20.8987369571748,"Sec23;Vps16B;Tnks;Vps33B;Usp5;spz;CG9175"
"26","negative regulation of cell growth (GO:0030308)","6/15",0.00108626631590406,0.0263735356698567,0.033204521723048,0.966855178052992,-3.05926965288483,20.8795424894409,"foxo;Mnt;spidey;Tsc1;cic;bif"
"27","mucosal immune response (GO:0002385)","6/15",0.00108626631590406,0.0263735356698567,0.033204521723048,0.966855178052992,-3.00104328232248,20.482146994403,"norpA;Cad99C;Mekk1;bbg;Duox;p38a"
"28","establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)","12/35",2.28938878028548e-05,0.00227630655868385,0.00825426717327166,0.909459538717249,-1.87157766422745,19.9971346807929,"sdt;Moe;Grip;fj;f-cup;CG3408;baz;aPKC;veli;Exo84;ft;ds"
"29","female gamete generation (GO:0007292)","46/208",2.79108603362787e-09,3.43194121323921e-06,0.00279426420906962,0.583442366853738,-0.99648432213813,19.6275873305296,"shu;raptor;bru1;lqfR;osk;M6;zuc;del;egl;capu;p53;bam;lov;yl;nos;wisp;vret;orb;bgcn;brn;Gmd;armi;Dlic;GatA;LIMK1;ovo;Nprl2;vas;Tsc1;Past1;pAbp;aub;mus301;abo;otu;Btk29A;stil;spir;spin;BicD;BicC;Nup154;EDTP;Lar;fs(1)Yb;cup"
"30","TOR signaling (GO:0031929)","7/21",0.00146229707693675,0.0339252921849327,0.0440292927523327,0.966855178052992,-2.92272078785911,19.0787810928244,"raptor;Socs16D;CG9578;Tor;Nprl2;Tsc1;Lst8"
"31","lytic vacuole organization (GO:0080171)","5/12",0.00234252162683479,0.0484275758102083,0.0450712838098431,0.966855178052992,-3.12963241510897,18.9547041971285,"rb;g;spin;cm;Mitf"
