"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","Aminoacyl-tRNA biosynthesis","17/64",2.3130966379735e-05,0.000817294145417304,0.0158160989510831,0.419126622203703,-67.5397578806968,720.942224469488,"LysRS;LeuRS;GatA;CysRS-m;GatB;ValRS;GlyRS;ThrRS;MetRS;GlnRS;alpha-PheRS;ValRS-m;TyrRS;CysRS;HisRS;TyrRS-m;ArgRS"
"2","Sphingolipid metabolism","13/28",1.70600310274101e-07,1.80836328890547e-05,0.000759373976964995,0.0804936415582894,-34.5618592601684,538.610023365617,"schlank;CDase;Cerk;lace;CG10425;Sply;CG33090;CG7997;Gal;wun2;Spt-I;CG3376;Sk2"
"3","Glyoxylate and dicarboxylate metabolism","8/33",0.00627062278230416,0.0488047905167356,0.11748411444618,0.901460168811559,-83.3469785586477,422.725840435661,"Mdh1;Mdh2;Spat;CG7430;Irp-1B;Irp-1A;AcCoAS;Gip"
"4","Dorso-ventral axis formation","8/28",0.00207431862481404,0.0252084878115765,0.0633097793641436,0.901460168811559,-44.3206171087803,273.818204114189,"grk;bru1;spir;orb2;capu;orb;brn;aub"
"5","Glycerophospholipid metabolism","11/63",0.0192136368038126,0.092574795509279,0.285909189292991,0.901460168811559,-68.4930513285565,270.693785539654,"bbc;Pect;wun2;CG18858;CG12746;GIIIspla2;Taz;iPLA2-VIA;nes;mino;frj"
"6","Biosynthesis of unsaturated fatty acids","7/25",0.00443937556733379,0.0399535045453099,0.0855930272172433,0.901460168811559,-47.1818577226461,255.59552008095,"CG9527;spidey;CG4586;Acox57D-p;CG17597;Acox57D-d;CG17544"
"7","alpha-Linolenic acid metabolism","7/13",4.02501530583999e-05,0.0010666290560476,0.00708535539995299,0.250349224131672,-24.911811772074,252.117418929929,"CG9527;CG4586;Acox57D-p;GIIIspla2;Acox57D-d;iPLA2-VIA;CG17544"
"8","Glycerolipid metabolism","8/42",0.0265928561668919,0.117451781403773,0.25856320791626,0.901460168811559,-67.7399666520468,245.70049093096,"CG10863;CG7997;CG9436;wun2;CG12746;Gk1;mino;Gk2"
"9","Galactose metabolism","7/37",0.0381565228888734,0.139468669869675,0.284190868341792,0.901460168811559,-69.2297948837481,226.10856389759,"CG10863;CG7997;Gal;CG9436;Mal-B2;Hex-A;UGP"
"10","Fatty acid degradation","13/32",1.13514020563347e-06,6.0162430898574e-05,0.00198886704903731,0.105409953598978,-16.4653502822473,225.390135884371,"Mtpalpha;Acox57D-p;yip2;CG4592;Fdh;CG3961;CG9527;whd;CG4594;CG4586;CG4860;Acox57D-d;CG17544"
"11","Glycosaminoglycan degradation","4/15",0.0359163349641494,0.136487421272255,0.193277360094812,0.901460168811559,-61.7152892399693,205.299802289747,"Gal;CG6201;CG30059;CG18278"
"12","Cysteine and methionine metabolism","8/34",0.00758660078071187,0.0502612301722161,0.130605823752344,0.901460168811559,-40.0287561879817,195.395235355382,"AhcyL2;Gclc;CG11334;Mdh1;Mdh2;SpdS;Gclm;CG11134"
"13","Inositol phosphate metabolism","8/47",0.0483622123750799,0.160199828492452,0.35263750257503,0.901460168811559,-53.1152870115566,160.888143397672,"norpA;CG9391;CG3530;Pi4KIIalpha;Ipp;Mipp2;EDTP;Plc21C"
"14","Mitophagy","7/36",0.0333565147084761,0.13599194458071,0.264270877625909,0.901460168811559,-46.0435988116269,156.571358231369,"foxo;Tom7;crc;Tbc1d15-17;Ras64B;Usp30;Marf"
"15","Toll and Imd signaling pathway","14/65",0.00120640563522043,0.0182684281904808,0.0928635233609673,0.901460168811559,-22.1578878747448,148.903441440098,"tub;kay;Dredd;IKKbeta;modSP;Diap2;pll;GNBP3;Tak1;Mekk1;Tab2;Duox;spz;p38a"
"16","Glycine, serine and threonine metabolism","5/27",0.0805115126481306,0.224584745807943,0.349202429207297,0.901460168811559,-55.6906118278917,140.304426402811,"CG11899;Spat;CG10184;CG7430;CG6287"
"17","Folate biosynthesis","7/40",0.0551803791222438,0.172032946675231,0.34576647576875,0.901460168811559,-48.2631578947368,139.825503625594,"CG10863;Pcd;CG9436;Pu;mal;Sptr;phu"
"18","Amino sugar and nucleotide sugar metabolism","8/47",0.0483622123750799,0.160199828492452,0.35263750257503,0.901460168811559,-45.0209450530997,136.370086111477,"Gmer;Hex-A;CG5946;nst;Cht11;UGP;Cht10;Gmd"
"19","Citrate cycle (TCA cycle)","8/43",0.0302609652865958,0.128306492815166,0.276806675901336,0.901460168811559,-34.3062749602502,119.999804990749,"CG5214;Mdh1;Mdh2;CG7430;Irp-1B;Idh;Irp-1A;PCB"
"20","Longevity regulating pathway","8/55",0.102405320928242,0.225653896936039,0.507494108622068,0.978079554798895,-40.7933413513434,92.9605436667744,"ACXD;foxo;rut;Ac13E;raptor;Tor;alc;Sod3"
