"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","striated muscle cell development (GO:0055002)","17/27",3.93227281579477e-12,5.75946891753407e-10,9.18423529485325e-06,0.00224197388253251,-2.57895232327177,67.7279392336615,"Mef2;Zasp52;htl;Col4a1;twi;wap;Mhc;Prm;Mlc2;kon;LanB1;wupA;tmod;sty;tn;up;if"
"2","mesoderm development (GO:0007498)","41/83",7.88874829385088e-22,8.66579000079519e-19,1.41152829346025e-09,3.10112766073218e-06,-1.21558936409651,59.0672310473307,"hh;foi;SPARC;tx;twi;Galphaf;Mlc1;Npc2g;Prm;LanA;zfh1;CG43897;wg;mthl1;how;CG44245;bt;abd-A;Six4;Ggamma1;tin;up;blow;Mef2;htl;meso18E;Pde8;Msp300;CG34417;stg;sna;neur;Dl;Myo61F;stumps;ftz;RhoL;CG17470;Abd-B;sls;CG4945"
"3","circulatory system development (GO:0072359)","27/55",9.26885255066792e-15,1.69697242115145e-12,9.98107450428725e-07,0.000730947356197303,-1.70828592579384,55.1983343687712,"hh;twi;mid;LanA;zfh1;sgg;abd-A;eve;Antp;Tl;wupA;tin;Ras85D;pan;arm;tkv;Mef2;prc;htl;stumps;betaTub60D;slp1;srp;Tm2;GATAe;Abd-B;Act57B"
"4","axon guidance (GO:0007411)","75/242",5.3427354629166e-23,1.17379898120278e-19,1.4278364999249e-08,1.56847839516751e-05,-1.06308564584513,54.5189859151224,"acj6;Rab6;jeb;Kr;ckn;lola;run;Vav;peb;Glt;gcm;Nrt;Sema2a;RhoGAP93B;CadN2;msps;conv;if;wgn;Dg;Mmp2;otk;Src42A;NiPp1;InR;beat-IIa;nvy;CG6867;trn;unc-5;pod1;bsk;trx;Unc-115a;bon;NetA;Ptp4E;NetB;beat-IIIc;mid;PlexB;beat-Vb;PlexA;LanA;zfh1;Ten-m;pros;robo2;smo;Wnk;eve;sim;ena;kermit;robo1;ptc;Ten-a;fz2;Cdc42;Toll-7;gogo;babo;side;Ephrin;ko;hts;trol;betaTub60D;mirr;Tig;Cdk5;CadN;gukh;Mical;Dscam1"
"5","regulation of transcription from RNA polymerase II promoter (GO:0006357)","129/630",4.10410148511643e-20,3.0055703209336e-17,8.10093003698986e-05,0.0127126737794762,-1.03853384953043,46.359855085791,"CG10555;hh;lmd;Mondo;Axud1;lola;rib;peb;asf1;gcm;Adf1;dve;her;Ras85D;GluRIIC;GluRIID;GluRIIE;Oamb;GluRIIA;odd;CG9215;sty;CG34376;fkh;sug;Max;twi;CycT;mid;d4;pros;btd;caup;FoxL1;CG14655;so;arm;Mef2;Dif;MrgBP;kn;sv;ci;sna;kni;bip2;h;spt4;ftz;HLH54F;NfI;sno;Sos;MBD-R2;HP1b;GATAe;nub;da;acj6;hyx;CG11723;Kr;run;l(3)neo38;Hel89B;CG42741;Dsp1;pad;yki;Antp;Tl;tin;drk;pan;TfIIEbeta;net;drm;mip120;bab2;opa;akirin;prd;edl;MED26;croc;MED23;fd96Cb;CrebA;vg;CrebB;CG9932;MED21;Neto;shn;emc;trx;onecut;hkb;CtBP;dsx;tsh;zfh1;bowl;luna;zfh2;dmrt11E;Nelf-E;abd-A;mbf1;eve;sim;SNCF;NC2alpha;org-1;hth;Nelf-A;tkv;NC2beta;e(y)2b;Lpin;Sox102F;mirr;slp1;CG1233;Mes2;E2f2;Abd-B;koko;Ptx1"
"6","muscle contraction (GO:0006936)","10/15",5.51907608903685e-08,2.4519285069018e-06,0.000475558727614428,0.0386963897988481,-2.67284478540194,44.669839019963,"bt;wupA;Tm2;Mhc;Tm1;Mlc1;RyR;tn;up;Ca-alpha1D"
"7","actomyosin structure organization (GO:0031032)","21/52",8.37565755544927e-10,6.81530357382298e-08,0.000146617394013467,0.0189481420380934,-2.10453465763846,43.9858715253264,"Zasp52;CG34347;Dg;Unc-89;hts;twi;Mhc;Prm;Mlc2;kon;how;bt;wupA;tmod;Tm1;tn;sls;up;Mical;if;Mlp84B"
"8","positive regulation of transcription, DNA-templated (GO:0045893)","92/379",1.14030619782798e-19,6.2631317915702e-17,4.36162135065094e-06,0.00179359215305486,-1.00668718385409,43.909500327253,"CG10555;lmd;acj6;hyx;Axud1;lola;run;Rbfox1;gcm;Adf1;dmpd;her;yki;Myc;Antp;scf;Tl;tin;Utx;pan;TfIIEbeta;drm;opa;akirin;prd;Hcf;Nipped-B;odd;CrebA;vg;CrebB;MED21;CG9215;shn;Pcl;trx;onecut;CtBP;fkh;sug;Max;twi;CycT;dsx;tsh;mid;bowl;zfh2;d4;Nelf-E;pros;CG17440;btd;abd-A;mbf1;eve;sim;caup;SNCF;NC2alpha;nclb;org-1;so;arm;hth;Mef2;Dif;kn;sv;NC2beta;ci;sna;e(y)2b;bip2;spt4;Lpin;ftz;HLH54F;Sox102F;mirr;NfI;srp;Pdp1;Brca2;sno;pho;MBD-R2;HP1b;GATAe;Abd-B;koko;da"
"9","positive regulation of transcription from RNA polymerase II promoter (GO:0045944)","78/305",2.85455591359541e-18,1.04524322369485e-15,4.89829445531596e-06,0.00179359215305486,-1.07902492012513,43.5900337192086,"CG10555;lmd;acj6;hyx;Axud1;run;Cf2;gcm;Adf1;her;yki;Antp;Tl;tin;pan;TfIIEbeta;drm;opa;akirin;prd;Nipped-B;odd;CrebA;vg;CrebB;MED21;CG9215;shn;trx;onecut;CtBP;fkh;Max;twi;CycT;dsx;tsh;mid;bowl;d4;Nelf-E;pros;btd;abd-A;mbf1;eve;sim;Sbf;caup;SNCF;NC2alpha;org-1;Ssb-c31a;so;arm;hth;Mef2;Dif;kn;sv;NC2beta;ci;sna;e(y)2b;bip2;spt4;Lpin;ftz;HLH54F;Sox102F;NfI;sno;MBD-R2;HP1b;GATAe;Abd-B;koko;da"
"10","regulation of transcription, DNA-templated (GO:0006355)","125/623",9.22553811632584e-19,4.05370144831357e-16,0.000221677669577043,0.0256329389505665,-1.03989887284981,43.1840273746693,"CG10555;hh;lmd;Mondo;lola;rib;peb;Cf2;jim;Rbfox1;gcm;Adf1;dve;dmpd;Pc;her;Myc;scf;CG10147;tey;mute;odd;danr;bsf;CG9215;Tgi;CG34376;CG31388;fkh;sug;Max;Art3;d4;pros;btd;FoxL1;so;arm;MrgBP;kn;ci;sna;kni;h;ftz;CG7137;sno;pho;nub;da;CG14711;tx;CG11723;Kr;run;l(3)neo38;Hel89B;CG42741;Optix;Dsp1;dan;Six4;ham;tin;Utx;HmgZ;pan;net;drm;bab2;prd;Hcf;Nipped-A;edl;MED26;Nipped-B;croc;MED23;nvy;fd96Cb;CrebA;CrebB;Kah;MED21;Pcl;emc;trx;hkb;CtBP;blanks;dsx;tsh;bowl;luna;zfh2;dmrt11E;CG17440;Awh;abd-A;sim;NC2alpha;Ssb-c31a;rgr;hth;tkv;NC2beta;kibra;e(y)2b;cry;Lpin;Sox102F;Kdm4A;ph-p;mirr;slp1;knrl;srp;Pdp1;Brca2;Mes2;Sox21a;E2f2;Ptx1;CG18764;JHDM2"
"11","central nervous system development (GO:0007417)","51/170",2.01452772411955e-15,4.91768601098962e-13,6.53441708878097e-06,0.0019944492062221,-1.23231283943925,41.6994844433694,"Kr;exex;rib;run;Vav;Pvr;Nrt;gkt;Pc;Antp;tin;if;bchs;Mmp2;neur;Dl;mute;Npc1b;18w;elav;spo;Pcl;hkb;Ptp4E;TBPH;foi;noc;CycT;mid;ems;pros;robo2;mbf1;smo;eve;moody;sim;hth;htl;cnn;kn;sna;ftz;mbc;Hem;Notum;CycE;Lam;nub;Dscam1;grim"
"12","mesenchyme development (GO:0060485)","7/9",1.26011431852776e-06,4.46527606097661e-05,0.00186347126200497,0.0894984992034124,-3.00173340721309,40.776471474045,"hh;htl;foi;abd-A;tin;Abd-B;ftz"
"13","imaginal disc-derived wing morphogenesis (GO:0007476)","64/240",3.49515398707305e-16,9.59856663699937e-14,1.17480817719727e-05,0.00258105356530239,-1.1379642690431,40.5001301891989,"hh;jumu;aos;tx;heph;hyx;px;lola;Rbfox1;mthl1;path;dve;sgg;Pcyt1;Myc;RhoGEF2;Ras85D;drk;pan;net;if;Dg;cv-d;Mkp3;neur;cv-c;Dl;Src42A;spi;vg;shn;emc;GEFmeso;lft;Pka-C3;smp-30;tsh;sqh;alph;zfh2;wg;S;Phm;caup;Galphas;arm;hth;ptc;tkv;fuss;Socs36E;babo;kn;ltl;Lpin;Plzf;mirr;Gprk1;sno;CycE;Drak;Zyx;step;Hipk"
"14","heart development (GO:0007507)","34/87",1.65899620457622e-14,2.8037035857338e-12,2.64197892496388e-06,0.00145110692453641,-1.275997728791,40.487380600739,"hh;jumu;loh;twi;mid;LanA;zfh1;sgg;robo2;abd-A;eve;yki;Antp;Ggamma1;Tl;wupA;tin;Ras85D;pan;arm;robo1;tkv;Mef2;prc;htl;stumps;betaTub60D;slp1;srp;Cat;Tm2;GATAe;Abd-B;Act57B"
"15","gonadal mesoderm development (GO:0007506)","7/9",1.26011431852776e-06,4.46527606097661e-05,0.00186347126200497,0.0894984992034124,-2.97136432580353,40.3639285150954,"hh;htl;foi;abd-A;tin;Abd-B;ftz"
"16","nervous system development (GO:0007399)","66/246",8.61290905022567e-17,2.70322302619226e-14,7.26244590340318e-06,0.0019944492062221,-1.08858745870941,40.2675951821532,"exex;rib;Vav;sick;l(2)gl;Rbfox1;Nrt;gkt;Adf1;Pc;Myc;Doa;Tl;wupA;Ras85D;stg;neur;Dl;InR;spi;Imp;Npc1b;elav;spo;shn;emc;hkb;bon;Ptp4E;TBPH;olf186-F;foi;mid;zfh1;zfh2;d4;Alp4;FucTA;pros;S;abd-A;mbf1;smo;eve;Lapsyn;CG13001;arm;hth;ptc;htl;cnn;Ephrin;sktl;sna;h;ftz;Sox102F;mirr;mbc;Hem;mbl;CycE;Lam;Eph;Dscam1;da"
"17","eye morphogenesis (GO:0048592)","31/114",8.72928528956338e-09,4.91749737978737e-07,0.00158486463588203,0.0838879752293073,-2.03538248049743,37.7697425902336,"hh;Rab6;hyx;run;Vav;alph;Optix;wg;p120ctn;kirre;Ten-m;rst;pros;smo;caup;so;arm;ptc;tkv;fzr;Nhe2;kibra;ci;DNApol-alpha60;mirr;vg;ex;shn;sty;sns;Lam"
"18","axonogenesis (GO:0007409)","58/212",2.46660597729516e-15,5.41913333211748e-13,1.61099985453019e-05,0.00321760607309348,-1.07451933060936,36.1424605204741,"Frl;acj6;Rab6;jeb;Kr;ckn;lola;run;Vav;sick;Nrt;Sema2a;RhoGAP93B;msps;fax;if;Dg;otk;Src42A;NiPp1;InR;nvy;unc-5;pod1;bsk;trx;Unc-115a;bon;NetA;NetB;mid;PlexB;ems;PlexA;LanA;pros;robo2;Wnk;sim;ena;robo1;ptc;fz2;Cdc42;Toll-7;gogo;babo;Ephrin;hts;betaTub60D;Hem;Tig;Cdk5;Sh;CadN;gukh;Mical;Dscam1"
