"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","Longevity regulating pathway","16/55",1.34145622421714e-05,0.00115686824788792,0.00232620043651052,0.123288623135058,-75.4488135206931,846.473043049176,"Ac78C;fkh;Ilp3;Ilp4;S6k;Hsp68;Ilp6;InR;Ac3;chico;Cat;Ras85D;Hsp70Ab;Hsp70Bc;Hsc70-1;Hsp70Bb"
"2","Lysine degradation","10/35",0.000652068489041841,0.0115198766397392,0.016433932363142,0.304220682734107,-70.8280838981131,519.549561286169,"CG4335;Aldh;eIF2gamma;LKRSDH;Su(var)3-9;Plod;Set1;trx;CG1544;NSD"
"3","ECM-receptor interaction","7/12",2.18277027903382e-05,0.00115686824788792,0.00224540892657025,0.123288623135058,-44.7080339439945,479.821401867943,"CG3168;Dg;vkg;LanB1;LanB2;Col4a1;LanA"
"4","Insect hormone biosynthesis","7/27",0.00752683075754464,0.0664870050249777,0.0602824418150392,0.580903530217651,-67.7475974830598,331.23705525418,"CG10962;CG9150;Aldh;Jheh3;spo;phm;Jhe"
"5","AGE-RAGE signaling pathway in diabetic complications","7/31",0.0163571916778251,0.101991901049968,0.0986502562115819,0.655474657524966,-58.3654267287128,240.062114135894,"babo;vkg;RhoL;Col4a1;Ras85D;bsk;Cdc42"
"6","FoxO signaling pathway","14/65",0.00136136039436651,0.0174626369760351,0.0344207259887267,0.456074619350629,-33.0481570028709,218.093737146452,"babo;Ilp3;Ilp4;Ilp6;InR;chico;Sos;CycB3;Cat;Atg8a;Ras85D;bsk;SAK;drk"
"7","Glycerophospholipid metabolism","10/63",0.048086954669957,0.21238404979231,0.236361245330698,0.887582194145951,-66.9868819755371,203.288061689009,"CG31683;Dgkepsilon;CG2201;CG33116;CG8745;CG2818;Pcyt1;CG30503;CG34384;Lpin"
"8","DNA replication","8/35",0.00978855433577397,0.07411333997086,0.0767778031422131,0.655474657524966,-40.7440663414482,188.504113839343,"DNApol-delta;dpa;CG2990;Mcm3;CG30105;DNApol-alpha60;Mes4;DNApol-alpha180"
"9","Hedgehog signaling pathway","7/38",0.0459489001548282,0.21238404979231,0.190673207964431,0.887582194145951,-53.4829856315296,164.739649000294,"hh;sgg;smo;ci;ihog;SkpC;ptc"
"10","Arachidonic acid metabolism","4/17",0.0566676830485457,0.231029784736378,0.174047857239669,0.887582194145951,-43.8738277663967,125.942068706945,"CG1492;GstS1;CG30503;CG4829"
"11","Dorso-ventral axis formation","6/28",0.03249578709045,0.181292285873037,0.141942054974824,0.828876143471606,-36.4522054206495,124.908761102235,"aos;Sos;sqd;Ras85D;drk;Cf2"
"12","Homologous recombination","4/23",0.139431638116864,0.391841693281081,0.316473346015802,0.909693224702735,-50.0348005965033,98.5776058274818,"mms4;mus101;DNApol-delta;nbs"
"13","Glycine, serine and threonine metabolism","4/27",0.211039661770887,0.520237305760792,0.416551976367546,0.999999425622704,-51.9251884453433,80.7804929966937,"Alas;Sardh;CG10361;ppl"
"14","Base excision repair","4/20",0.0936879727947287,0.3055650768989,0.242829090851251,0.887582194145951,-32.8756546533174,77.8424969651161,"Dsp1;DNApol-delta;Ogg1;Mes4"
"15","Hippo signaling pathway","16/63",8.39427801080493e-05,0.00296597823048441,0.00711576516864838,0.251423702625576,-7.65350990261988,71.8310618831903,"kibra;Act87E;tsh;l(2)gl;wg;ex;yki;Myc;CycE;Zyx;bsk;lft;Pak3;hth;Act57B;wgn"
"16","Pantothenate and CoA biosynthesis","4/10",0.00820451457151503,0.0668983495831225,0.0518582233887509,0.549697167920759,-13.4602168449871,64.6503733956616,"CG1673;su(r);pyd3;CRMP"
"17","Wnt signaling pathway","18/91",0.000883195060342441,0.0133740966280427,0.0343684290320046,0.456074619350629,-8.01030963187931,56.3282127680611,"nkd;Psn;SkpC;Vang;wg;wntD;sgg;CaMKII;Notum;RhoL;Myc;rk;bsk;pan;arm;fz3;fz2;CtBP"
"18","Mitophagy","5/36",0.207800755280874,0.520237305760792,0.438188431204334,0.999999425622704,-35.3590798705677,55.5553223172351,"Rab7;Atg8a;Ras85D;bsk;Atg6"
"19","Glycerolipid metabolism","5/42",0.310702657099945,0.645774150050866,0.562806772422116,0.999999425622704,-47.4066803862851,55.4145651942177,"Dgkepsilon;Aldh;Mulk;CG34384;Lpin"
"20","Folate biosynthesis","5/40",0.275363134111258,0.619726083480664,0.522649381617752,0.999999425622704,-36.859649122807,47.5365833415263,"Alp4;CG12116;Alp1;l(3)72Dp;Mocs1"
"21","Glycolysis / Gluconeogenesis","6/54",0.340332253515561,0.668059608752767,0.618753188748399,0.999999425622704,-42.888172327227,46.2262841121884,"Aldh;Pgi;Adh;CG13334;Tpi;CG32444"
"22","Galactose metabolism","4/37",0.4142119164404,0.747271593148971,0.642019397696731,0.999999425622704,-46.6793730975109,41.1421519938443,"Mal-A8;Mal-A1;Mal-A3;CG32444"
"23","Circadian rhythm","2/9",0.185132588003664,0.478635471424107,0.326116439044377,0.909693224702735,-24.2919328117201,40.9727905647626,"Pdp1;sgg"
"24","Starch and sucrose metabolism","6/33",0.0658266581403854,0.249200920102888,0.223788703911349,0.887582194145951,-13.5675250620409,36.9135776690707,"Mal-A8;Pgi;CG5177;Mal-A1;Mal-A3;CG5171"
"25","Inositol phosphate metabolism","5/47",0.40076335090301,0.747271593148971,0.655039219254817,0.999999425622704,-34.6323685212368,31.6672896581574,"CG7956;sktl;PIP5K59B;PIP4K;Tpi"
"26","Nicotinate and nicotinamide metabolism","3/15",0.14047155042152,0.391841693281081,0.294015750340222,0.909693224702735,-15.4057934972332,30.2377257901749,"CG8080;CG16758;CG6145"
"27","TGF-beta signaling pathway","7/41",0.0652219707267334,0.249200920102888,0.238053102732273,0.887582194145951,-10.4908811519564,28.6396742906946,"babo;Myc;S6k;E2f2;emc;SkpC;tkv"
"28","Arginine and proline metabolism","6/53",0.324250118074152,0.648500236148304,0.601853770178124,0.999999425622704,-22.3104228610236,25.1268926875315,"S-Lap1;Aldh;PH4alphaEFB;CG18749;CG6661;Argk"
"29","Phototransduction","8/38",0.0160776298898652,0.101991901049968,0.105123294131363,0.655474657524966,-5.27351314402721,21.7813306702869,"Gprk1;CaMKII;Act87E;rdgC;Galphaq;trpl;Act57B;Eip63F-1"
