"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","epithelial cell proliferation involved in Malpighian tubule morphogenesis (GO:0061331)","7/12",2.54891481926351e-08,2.94187252056663e-06,1.18567397979577e-05,0.0014928713291065,-3.70538457523078,64.7886976029041,"l(1)sc;ac;ase;pnt;rho;svp;Egfr"
"2","presynapse assembly (GO:0099054)","6/10",2.1637164433553e-07,1.5772354073932e-05,4.59319641119037e-05,0.00374210413499922,-4.05872913794959,62.2863464384065,"Fife;Gli;Nrx-1;Nlg2;Nlg4;Nlg3"
"3","regulation of nervous system development (GO:0051960)","11/33",3.96351402792443e-09,6.38635476592522e-07,2.9151268696568e-06,0.000576778673496381,-2.9304100675501,56.6921082575464,"sc;l(1)sc;ac;unc-104;insc;pnt;stan;E(spl)m7-HLH;Hey;Sidpn;E(spl)mbeta-HLH"
"4","nervous system development (GO:0007399)","47/246",4.53484774269619e-23,6.28076412363423e-20,1.46378256540114e-14,2.02733885308058e-11,-1.09804781523996,56.4919968438729,"alphaTub67C;D;insc;futsch;alpha-Spec;sca;sc;Rnp4F;crb;melt;oc;Appl;cas;sad;brk;CG15765;XNP;beta-Spec;wor;spdo;ind;drl;HGTX;ac;spz3;siz;Gad1;Lim3;Blimp-1;vnd;Egfr;Dr;l(1)sc;ase;Sema1a;shg;SoxN;gsb-n;lbm;pnt;gsb;Nrx-1;rho;vn;bib;pbl;phyl"
"5","presynaptic membrane assembly (GO:0097105)","5/9",4.03667765326257e-06,0.000207066612954395,0.000268637307077779,0.0161766378392489,-4.45559660356855,55.3389044367989,"Gli;Nrx-1;Nlg2;Nlg4;Nlg3"
"6","membrane assembly (GO:0071709)","5/9",4.03667765326257e-06,0.000207066612954395,0.000268637307077779,0.0161766378392489,-4.18136294583732,51.932898119623,"Gli;Nrx-1;Nlg2;Nlg4;Nlg3"
"7","neuroblast fate commitment (GO:0014017)","11/31",1.83991677662009e-09,4.24714122603136e-07,1.76624204605204e-06,0.00040770753896368,-2.44608443253717,49.1994305219851,"inv;sc;l(1)sc;ac;ase;insc;mira;hb;vnd;Dr;ind"
"8","Malpighian tubule tip cell differentiation (GO:0061382)","5/10",7.85698366255896e-06,0.000348796738640324,0.000388033806837261,0.0185319593955037,-3.77110811660094,44.3260112643308,"sc;l(1)sc;ac;ase;insc"
"9","postsynapse assembly (GO:0099068)","4/7",3.57796853968841e-05,0.00108517720559286,0.00107310343363652,0.0345639129206183,-4.2181662494347,43.1861355733279,"Gli;Nlg2;Nlg4;Nlg3"
"10","presynaptic membrane organization (GO:0097090)","5/12",2.33889990483808e-05,0.000771280087666842,0.00074155578311293,0.0263347374259335,-3.89473060809578,41.5304657962245,"Gli;Nrx-1;Nlg2;Nlg4;Nlg3"
"11","neuroblast fate determination (GO:0007400)","11/27",3.18986478022773e-10,8.83592544123081e-08,5.85173176696928e-07,0.000162092969945049,-1.88437632573423,41.2035322971459,"inv;sc;l(1)sc;ac;ase;insc;mira;hb;vnd;Dr;ind"
"12","postsynaptic membrane assembly (GO:0097104)","5/8",1.84352439093847e-06,0.000111012229628251,0.00017934408035024,0.0118281691088134,-3.01902806026754,39.8627374651708,"Gli;Nrx-1;Nlg2;Nlg4;Nlg3"
"13","neuron cell-cell adhesion (GO:0007158)","4/9",0.000122259181407395,0.00307870847725895,0.00216256830733744,0.0627635515624713,-4.40305849100472,39.6687713160604,"Gli;Nlg2;Nlg4;Nlg3"
"14","chemical synaptic transmission (GO:0007268)","31/154",2.64851603302411e-16,1.8340973528692e-13,1.89886600009726e-10,1.31496470506735e-07,-1.10142581271959,39.5052383324725,"stnB;nwk;VGAT;alpha-Spec;Nmdar1;5-HT1A;GluClalpha;ChAT;beta-Spec;Rdl;nAChRbeta1;brp;Rbp;Ace;Syt1;VGlut;cpx;nAChRalpha6;Nlg2;svp;Nlg4;Shab;nAChRalpha1;RhoGAP92B;RIC-3;gsb;X11Lbeta;Rim;Nrx-1;VAChT;mAChR-A"
"15","maintenance of presynaptic active zone structure (GO:0048790)","5/10",7.85698366255896e-06,0.000348796738640324,0.000388033806837261,0.0185319593955037,-3.32142415042019,39.0403774575008,"brp;Rab3;beta-Spec;Nlg2;alpha-Spec"
"16","maintenance of synapse structure (GO:0099558)","5/10",7.85698366255896e-06,0.000348796738640324,0.000388033806837261,0.0185319593955037,-3.22203982080201,37.8722033352154,"brp;Rab3;beta-Spec;Nlg2;alpha-Spec"
"17","synaptic transmission, cholinergic (GO:0007271)","4/10",0.000198527313237821,0.0043644496640378,0.00292014070748257,0.074896201478951,-4.42628962022199,37.7322770966303,"nAChRbeta1;nAChRalpha1;RIC-3;nAChRalpha6"
"18","rhabdomere morphogenesis (GO:0061541)","3/6",0.000635016308934768,0.0114220465957747,0.00636916333625595,0.134068800614866,-5.10052023721445,37.5493152812768,"crb;oc;tau"
"19","central nervous system development (GO:0007417)","29/170",2.20684798927146e-13,1.01882815504699e-10,2.04554733554036e-08,9.44361019907799e-06,-1.24065896801584,36.1553344641188,"alphaTub67C;D;alpha-Spec;sc;Rnp4F;robo3;oc;cas;sad;wor;ind;HGTX;ac;siz;svp;bwa;vnd;Egfr;Dr;l(1)sc;ase;shg;Apc;SoxN;gsb;rho;mira;vn;hb"
"20","stem cell fate determination (GO:0048867)","12/32",1.56302511640239e-10,5.41197446554328e-08,3.6636233577549e-07,0.000126852958762263,-1.57201483271089,35.4948810273384,"inv;sc;l(1)sc;ac;ase;cas;insc;mira;hb;vnd;Dr;ind"
"21","regulation of apoptotic signaling pathway (GO:2001233)","5/12",2.33889990483808e-05,0.000771280087666842,0.00074155578311293,0.0263347374259335,-3.24245156340013,34.5750546828045,"Cp1;pnt;RpS3;CG4847;Egfr"
"22","brain development (GO:0007420)","12/44",1.02109578640969e-08,1.28565242197947e-06,5.91320851302156e-06,0.000818979379053487,-1.67871940840014,30.8881087451312,"shg;D;oc;Apc;rho;vn;wor;bwa;vnd;Egfr;Dr;ind"
"23","regulation of cell development (GO:0060284)","8/33",8.05884161479449e-06,0.000348796738640324,0.000430574535504675,0.0197285453949624,-2.62477100451527,30.785258592892,"sc;l(1)sc;ac;pnt;E(spl)m7-HLH;Hey;Sidpn;E(spl)mbeta-HLH"
"24","anterograde trans-synaptic signaling (GO:0098916)","17/89",3.50828888073224e-09,6.38635476592522e-07,4.97067452250729e-06,0.000764931579296955,-1.4613711487613,28.4501743408878,"nAChRbeta1;brp;Ace;stnB;Syt1;nAChRalpha6;Shab;Nmdar1;nAChRalpha1;gsb;X11Lbeta;5-HT1A;Nrx-1;GluClalpha;Rdl;VAChT;mAChR-A"
"25","negative regulation of synaptic transmission (GO:0050805)","6/17",1.04902932616631e-05,0.000415115890497242,0.000441577550356559,0.0197285453949624,-2.40220128837039,27.5413823347743,"slo;dysc;cpx;Rdl;Ank2;Nlg2"
"26","peripheral nervous system development (GO:0007422)","16/79",4.14997782623300e-09,6.38635476592522e-07,4.92048494329249e-06,0.000764931579296955,-1.3948683203715,26.9211857316098,"alphaTub67C;ac;insc;Gli;Egfr;sc;l(1)sc;ase;melt;Appl;pnt;rho;vn;pbl;spdo;phyl"
"27","modulation of chemical synaptic transmission (GO:0050804)","14/70",4.5919092317803e-08,4.89214945078132e-06,2.18145208718942e-05,0.00251775928396446,-1.52827948279728,25.822398302344,"Fife;Syt1;Gli;cpx;Nlg2;Grik;qvr;Nlg4;Nlg3;Shab;gsb;Rim;Nrx-1;Rdl"
"28","axon choice point recognition (GO:0016198)","7/28",2.41954073096537e-05,0.000774108294374702,0.000842852738283968,0.0291837760630824,-2.39050365277003,25.4094945593626,"Sema1a;Trim9;beat-Ia;beta-Spec;Sac1;alpha-Spec;drl"
"29","Malpighian tubule morphogenesis (GO:0007443)","11/46",1.85964674917045e-07,1.43089485977837e-05,4.1176455217173e-05,0.00356433690473654,-1.6338044584483,25.3202262250647,"l(1)sc;crb;ac;ase;pnt;rho;trh;pbl;svp;Egfr;crn"
"30","synaptic vesicle cycle (GO:0099504)","4/11",0.000303960797263949,0.00610124209000825,0.00384090685309575,0.0933272980971512,-3.10270117732002,25.1275724324261,"Fife;stnB;VGlut;VGAT"
"31","associative learning (GO:0008306)","11/49",3.71693291484507e-07,2.57397604353021e-05,6.76540397713576e-05,0.00520560250462946,-1.63704022154608,24.2367026626096,"Nmdar1;rad;Gad1;futsch;DopEcR;Krn;Nrx-1;vn;Syn;Egfr;drl"
"32","regulation of calcium ion-dependent exocytosis (GO:0017158)","4/11",0.000303960797263949,0.00610124209000825,0.00384090685309575,0.0933272980971512,-2.95066586720721,23.8962974727003,"Fife;Syt1;btsz;Rim"
"33","glial cell differentiation (GO:0010001)","7/26",1.42245713436692e-05,0.000532460305702212,0.00057910876423137,0.0243050193472863,-2.12759273031247,23.7450831585055,"not;cas;pyr;svp;vnd;Dr;ths"
"34","generation of neurons (GO:0048699)","12/54",1.23340948002434e-07,1.00486595872571e-05,3.4548462875873e-05,0.0032370536521077,-1.4616401154043,23.252229006563,"sc;l(1)sc;HGTX;ac;cas;pnt;E(spl)m7-HLH;hb;Hey;Wnt4;Sidpn;E(spl)mbeta-HLH"
"35","periodic partitioning (GO:0007365)","9/48",2.0642837130142e-05,0.000714758235631166,0.000972723028618905,0.0320766998723139,-2.11820296692135,22.8514747498216,"dally;Apc;SoxN;gsb-n;sob;gsb;stan;Cow;Egfr"
"36","olfactory learning (GO:0008355)","9/40",4.2443511436019e-06,0.00020994379763888,0.000306135224107569,0.0169598914155593,-1.78283970806631,22.0535874173624,"Nmdar1;rad;Gad1;futsch;Krn;vn;Syn;Egfr;drl"
"37","regulation of neuromuscular synaptic transmission (GO:1900073)","6/24",9.39326914206007e-05,0.00245465618146287,0.00198411772260925,0.0610667343514181,-2.37527731851384,22.0257852478731,"Syt1;VGlut;slo;Nrx-1;dysc;Ank2"
"38","positive regulation of synaptic transmission (GO:0050806)","5/19",0.000284181538368383,0.00587449896477927,0.00391831214358491,0.0935665917045708,-2.69456820311139,22.003567226336,"Fife;VGlut;Rim;beta-Spec;alpha-Spec"
"39","regulation of synapse organization (GO:0050807)","9/44",9.79832677105088e-06,0.000399137722879573,0.000562423466996529,0.0243050193472863,-1.90006667182807,21.9140369026976,"dpr11;unc-104;hiw;Nrx-1;stan;Aplip1;beta-Spec;Nlg2;alpha-Spec"
"40","oenocyte differentiation (GO:0001742)","4/12",0.000444246696387662,0.00854557881245711,0.00494003092266808,0.114716313160657,-2.82849572755733,21.8335277170338,"pnt;rho;Egfr;crn"
"41","postsynaptic membrane organization (GO:0001941)","4/14",0.000852947416348199,0.0142329177306296,0.0077298683451554,0.150170912779011,-2.97211619159579,21.0033883235781,"Gli;Nlg2;Nlg4;Nlg3"
"42","cytoskeletal matrix organization at active zone (GO:0048789)","3/8",0.00169328053489471,0.0249488674556295,0.011691148727965,0.199904209731253,-3.22502914067064,20.5791930938609,"brp;Rbp;Rab3"
"43","neuromuscular synaptic transmission (GO:0007274)","11/59",2.65813990511013e-06,0.000147260950743101,0.00028408400664063,0.0163940145498863,-1.59393791936364,20.4627900539354,"brp;Rbp;nwk;RhoGAP92B;Rim;Nrx-1;ChAT;cpx;beta-Spec;Nlg2;alpha-Spec"
"44","axon guidance (GO:0007411)","28/242",6.34977987421367e-09,8.79444512578593e-07,3.50583428026105e-05,0.0032370536521077,-1.04932758132015,19.8058961758056,"Cdk5alpha;D;Nrk;dysc;Oli;Drl-2;not;robo3;sad;nerfin-1;XNP;beta-Spec;Dbx;Wnt4;drl;beat-VI;Trim9;tap;unc-104;Lim3;beat-Ia;dally;Sema1a;shg;dpr11;SoxN;stan;mud"
"45","regulation of neurogenesis (GO:0050767)","9/45",1.18979205184429e-05,0.000457739442167871,0.000648389847366611,0.0261060363818923,-1.71216810114438,19.4145256496993,"sc;l(1)sc;ac;cas;pnt;E(spl)m7-HLH;Hey;Sidpn;E(spl)mbeta-HLH"
"46","notum cell fate specification (GO:0035310)","2/6",0.0145020730811194,0.0925593143656701,0.0480756109038779,0.380484120582119,-4.52552809178742,19.1586587580973,"vn;Egfr"
"47","ventral cord development (GO:0007419)","14/83",4.25761966198899e-07,2.80800153897845e-05,0.00011227245294701,0.00818407091218995,-1.30451405206653,19.1364194046584,"ac;svp;vnd;Dr;sc;l(1)sc;robo3;oc;cas;gsb;mira;hb;wor;ind"
"48","synaptic vesicle transport along microtubule (GO:0099517)","2/6",0.0145020730811194,0.0925593143656701,0.0480756109038779,0.380484120582119,-4.51724618211333,19.1235975943849,"unc-104;Aplip1"
"49","cell fate specification involved in pattern specification (GO:0060573)","3/9",0.00247879121146489,0.0326312598791054,0.0150707498144796,0.237193051057435,-3.18274389845805,19.0964132700506,"rho;vn;Egfr"
"50","R1/R6 cell differentiation (GO:0048052)","2/7",0.0198691248029048,0.116112817941026,0.0599917387803415,0.406722348179565,-4.86923217773673,19.0805160933616,"svp;phyl"
