"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"1","Insect hormone biosynthesis","3/27",0.0560808158963338,0.894519835798902,0.092807578854072,0.960218598821841,-73.9085703131664,212.927744673462,"sad;Cyp18a1;CG40486"
"2","Glycerophospholipid metabolism","4/63",0.148313463601226,0.894519835798902,0.223706216527856,0.960218598821841,-77.5300674466728,147.960493231769,"Ace;CG31140;ChAT;Dgk"
"3","Dorso-ventral axis formation","3/28",0.0613494782772103,0.894519835798902,0.100154285902905,0.960218598821841,-46.4665475691796,129.695969078468,"pnt;rho;Egfr"
"4","Butanoate metabolism","2/16",0.0937421796343666,0.894519835798902,0.136860762489372,0.960218598821841,-48.6124780295789,115.075799972841,"sro;Gad1"
"5","Neuroactive ligand-receptor interaction","6/54",0.00791371190344141,0.312591620185936,0.0202542200058046,0.800041690229281,-19.8235350723412,95.9292250753464,"Nmdar1;Nmdar2;5-HT1A;GABA-B-R1;Rdl;mAChR-A"
"6","Taurine and hypotaurine metabolism","2/9",0.0326274390853659,0.859189229247969,0.0578771511465576,0.960218598821841,-24.0162165111148,82.1979423752939,"Gad1;CG5493"
"7","Glycosphingolipid biosynthesis","1/10",0.281417060952808,0.894519835798902,0.334233186810468,0.960218598821841,-63.9745432694983,81.1144434335285,"CG5731"
"8","Alanine, aspartate and glutamate metabolism","2/29",0.242688350718096,0.894519835798902,0.310638316450737,0.960218598821841,-55.0293063098095,77.9202412005121,"Gad1;GLS"
"9","Caffeine metabolism","1/6",0.179846960795532,0.894519835798902,0.227961172728009,0.960218598821841,-44.3206171087803,76.0386227560036,"AOX1"
"10","FoxO signaling pathway","4/65",0.160612113557707,0.894519835798902,0.239447784273994,0.960218598821841,-31.4413425138533,57.4987655395442,"CG5059;CG11658;Egfr;slp2"
"11","Glycerolipid metabolism","2/42",0.39824186616078,0.894519835798902,0.478290891225945,0.960218598821841,-60.9622045634596,56.1276429176003,"CG31140;Dgk"
"12","Hippo signaling pathway","8/63",0.000954857481890605,0.0754337410693578,0.00369621850160409,0.292001261626723,-7.79167237039892,54.1828880984321,"crb;dally;Patj;Krn;vn;dia;upd1;upd2"
"13","Glycosaminoglycan biosynthesis","1/16",0.410711452597664,0.894519835798902,0.467039502088789,0.960218598821841,-57.1967811809111,50.8973778147543,"Hs3st-A"
"14","Inositol phosphate metabolism","2/47",0.454419675696295,0.894519835798902,0.536120805754885,0.960218598821841,-48.4945573889767,38.2493116650727,"CG15743;Sac1"
"15","N-Glycan biosynthesis","2/38",0.351433091699947,0.894519835798902,0.429036896772842,0.960218598821841,-34.8669977458917,36.4616725453786,"CG33303;GCS2alpha"
"16","Arginine biosynthesis","1/15",0.390900873047509,0.894519835798902,0.446889121196787,0.960218598821841,-38.4829765400534,36.1471088435282,"GLS"
"17","ECM-receptor interaction","1/12",0.327389685739284,0.894519835798902,0.38179381747869,0.960218598821841,-30.0168204000381,33.5169052705485,"wb"
"18","Amino sugar and nucleotide sugar metabolism","2/47",0.454419675696295,0.894519835798902,0.536120805754885,0.960218598821841,-40.0167644247448,31.5625871586526,"Gale;Cht7"
"19","Arachidonic acid metabolism","1/17",0.429878664146873,0.894519835798902,0.486461780886736,0.960218598821841,-36.1726117287634,30.5388101612786,"PHGPx"
"20","Synthesis and degradation of ketone bodies","1/7",0.20650993345208,0.894519835798902,0.256009381353199,0.960218598821841,-19.3061648535421,30.4536750240547,"sro"
"21","Sulfur metabolism","1/8",0.232307389739654,0.894519835798902,0.283046921543101,0.960218598821841,-19.3061648535421,28.1810896891207,"CG15743"
"22","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","1/24",0.547704898740994,0.894519835798902,0.604109792142175,0.960218598821841,-46.6535957097754,28.086334381558,"PIG-A"
"23","Fatty acid biosynthesis","1/10",0.281417060952808,0.894519835798902,0.334233186810468,0.960218598821841,-22.1243193130479,28.05181179432,"FASN1"
"24","Mismatch repair","1/20",0.483725363613904,0.894519835798902,0.540616321296918,0.960218598821841,-37.3624271720163,27.1340130344569,"RfC4"
"25","Terpenoid backbone biosynthesis","2/27",0.218474324913338,0.894519835798902,0.283441960063102,0.960218598821841,-17.02478643658,25.8961775379039,"ste24a;CG40486"
"26","Proteasome","4/52",0.0882008202736081,0.894519835798902,0.143408725796193,0.960218598821841,-10.4577425146232,25.3928526175572,"Prosalpha6;Rpn1;Rpn10;Rpt2"
"27","Glycine, serine and threonine metabolism","1/27",0.590437648576099,0.894519835798902,0.645945062797208,0.960218598821841,-48.1597650627948,25.3749583231598,"Pglym78"
"28","Peroxisome","6/90",0.0728103434457237,0.894519835798902,0.132997268250226,0.960218598821841,-9.10414218698662,23.8519171118293,"CG13827;ADPS;AOX1;Prx5;CG4020;CG10672"
"29","Phosphatidylinositol signaling system","4/63",0.148313463601226,0.894519835798902,0.223706216527856,0.960218598821841,-11.1596044283563,21.2972931647035,"CG31140;Dgk;CG15743;Sac1"
"30","ABC transporters","2/21",0.14781093556617,0.894519835798902,0.201966090719334,0.960218598821841,-8.65396923336371,16.5448425736709,"CG4562;l(2)03659"
"31","Nicotinate and nicotinamide metabolism","1/15",0.390900873047509,0.894519835798902,0.446889121196787,0.960218598821841,-17.1287154167747,16.0890241916592,"CG33156"
"32","Ubiquinone and other terpenoid-quinone biosynthesis","1/9",0.257267383554258,0.894519835798902,0.309109910840368,0.960218598821841,-11.7247609333534,15.9179966013719,"GC"
"33","Galactose metabolism","1/37",0.705829159746696,0.894519835798902,0.756186413597196,0.960218598821841,-45.0686286842083,15.7011014379715,"Gale"
"34","Mitophagy","1/36",0.695929033069793,0.894519835798902,0.74690576740221,0.960218598821841,-24.6745609295085,8.9447155632361,"CG5059"
"35","Ether lipid metabolism","1/24",0.547704898740994,0.894519835798902,0.604109792142175,0.960218598821841,-14.8458169594335,8.93745858055449,"ADPS"
"36","Mucin type O-glycan biosynthesis","1/24",0.547704898740994,0.894519835798902,0.604109792142175,0.960218598821841,-14.0882653750747,8.48139840371539,"CG8708"
"37","SNARE interactions in vesicular transport","1/20",0.483725363613904,0.894519835798902,0.540616321296918,0.960218598821841,-10.6305427170489,7.72030369760875,"nSyb"
